pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.372,0.373,0.014,0.012,40.48,41.78,0.01,0,0.35,0.35,1953.7
0.371,0.373,0.014,0.012,40.48,41.79,0.01,0,0.35,0.35,1945.6
0.371,0.373,0.014,0.012,40.53,41.8,0.01,0,0.349,0.35,1910.88
0.372,0.374,0.014,0.012,40.53,41.8,0.01,0,0.35,0.35,1855.32
0.373,0.373,0.014,0.012,40.48,41.81,0.01,0,0.35,0.35,1854.75
0.372,0.374,0.014,0.012,40.48,41.8,0.01,0,0.35,0.35,1854.17
0.372,0.374,0.014,0.012,40.5,41.82,0.01,0,0.35,0.35,1875.58
0.372,0.374,0.014,0.012,40.47,41.82,0.01,0,0.35,0.35,1921.3
0.372,0.374,0.014,0.012,40.44,41.82,0.01,0,0.35,0.35,1921.88
0.372,0.373,0.014,0.012,40.52,41.8,0.01,0,0.35,0.35,1921.3
0.372,0.374,0.014,0.012,40.47,41.82,0.01,0,0.35,0.35,1913.77
0.373,0.374,0.014,0.012,40.48,41.8,0.01,0,0.35,0.35,1903.94
0.372,0.374,0.014,0.012,40.47,41.82,0.01,0,0.35,0.35,1904.51
0.372,0.374,0.014,0.012,40.5,41.82,0.01,0,0.35,0.35,1892.36
0.372,0.373,0.014,0.012,40.45,41.8,0.01,0,0.351,0.35,1892.36
0.372,0.374,0.014,0.012,40.53,41.81,0.01,0,0.349,0.35,1892.36
0.373,0.374,0.014,0.012,40.54,41.83,0.01,0,0.351,0.35,1880.79
0.373,0.375,0.014,0.012,40.47,41.82,0.01,0,0.349,0.35,1874.42
0.372,0.373,0.014,0.012,40.53,41.83,0.01,0,0.349,0.35,1874.42
0.373,0.374,0.014,0.012,40.48,41.83,0.01,0,0.35,0.35,1880.21
0.372,0.373,0.014,0.012,40.45,41.83,0.01,0,0.35,0.35,1895.83
0.372,0.374,0.014,0.012,40.5,41.84,0.01,0,0.35,0.35,1895.25
0.372,0.374,0.014,0.012,40.5,41.83,0.01,0,0.35,0.35,1896.41
0.372,0.374,0.014,0.012,40.5,41.84,0.01,0,0.35,0.35,1868.06
0.371,0.374,0.014,0.012,40.51,41.84,0.01,0,0.349,0.35,1847.8
0.371,0.373,0.014,0.012,40.58,41.85,0.01,0,0.349,0.35,1847.22
0.372,0.374,0.014,0.012,40.59,41.86,0.01,0,0.35,0.35,1849.54
0.373,0.374,0.014,0.012,40.58,41.87,0.01,0,0.35,0.35,1855.32
0.372,0.375,0.014,0.012,40.53,41.86,0.01,0,0.35,0.35,1868.63
0.373,0.375,0.014,0.012,40.57,41.85,0.01,0,0.35,0.35,1901.62
0.371,0.373,0.014,0.012,40.57,41.86,0.01,0,0.35,0.35,1923.03
0.373,0.374,0.014,0.012,40.62,41.87,0.01,0,0.35,0.35,1918.98
0.372,0.375,0.014,0.012,40.5,41.87,0.01,0,0.351,0.35,1877.89
0.372,0.375,0.014,0.012,40.58,41.87,0.01,0,0.35,0.35,1890.05
0.373,0.374,0.014,0.012,40.59,41.88,0.01,0,0.351,0.35,1921.88
0.373,0.374,0.014,0.012,40.51,41.88,0.01,0,0.351,0.35,1949.65
0.372,0.374,0.014,0.012,40.58,41.88,0.01,0,0.35,0.35,1915.51
0.372,0.374,0.014,0.012,40.5,41.88,0.01,0,0.35,0.35,1899.88
0.372,0.373,0.014,0.012,40.57,41.89,0.01,0,0.35,0.35,1909.72
0.372,0.375,0.014,0.012,40.57,41.88,0.01,0,0.35,0.35,1941.55
0.372,0.373,0.014,0.012,40.53,41.89,0.01,0,0.35,0.35,1962.96
0.372,0.374,0.014,0.012,40.51,41.87,0.01,0,0.349,0.35,1900.46
0.373,0.374,0.014,0.012,40.62,41.9,0.01,0,0.351,0.35,1875
0.372,0.373,0.014,0.012,40.49,41.88,0.01,0,0.351,0.35,1905.67
0.371,0.373,0.014,0.012,40.54,41.87,0.01,0,0.349,0.35,1928.82
0.373,0.374,0.014,0.012,40.53,41.89,0.01,0,0.35,0.35,1917.82
0.372,0.374,0.014,0.012,40.53,41.9,0.01,0,0.35,0.35,1885.42
0.372,0.374,0.014,0.012,40.57,41.89,0.01,0,0.35,0.35,1865.74
0.373,0.373,0.014,0.012,40.56,41.89,0.01,0,0.35,0.35,1875.58
0.372,0.374,0.014,0.012,40.59,41.89,0.01,0,0.35,0.35,1936.34
0.372,0.374,0.014,0.012,40.59,41.89,0.01,0,0.35,0.35,1936.34
0.372,0.374,0.014,0.012,40.5,41.87,0.01,0,0.349,0.35,1912.04
0.371,0.375,0.014,0.012,40.64,41.9,0.01,0,0.349,0.35,1880.79
0.373,0.374,0.014,0.012,40.59,41.9,0.01,0,0.35,0.35,1928.24
0.373,0.374,0.014,0.012,40.61,41.9,0.01,0,0.35,0.35,1955.44
0.372,0.375,0.014,0.012,40.62,41.92,0.01,0,0.35,0.35,1916.67
0.372,0.375,0.014,0.012,40.6,41.91,0.01,0,0.35,0.35,1881.94
0.372,0.374,0.014,0.012,40.61,41.91,0.01,0,0.35,0.35,1895.25
0.371,0.374,0.014,0.012,40.55,41.9,0.01,0,0.35,0.35,1938.66
0.373,0.374,0.014,0.012,40.6,41.93,0.01,0,0.35,0.35,1908.56
0.371,0.374,0.014,0.012,40.5,41.9,0.01,0,0.349,0.35,1890.05
0.371,0.374,0.014,0.012,40.64,41.92,0.01,0,0.35,0.35,1901.04
0.372,0.374,0.014,0.012,40.59,41.92,0.01,0,0.35,0.35,1939.24
0.372,0.373,0.014,0.012,40.62,41.9,0.01,0,0.35,0.35,1929.4
0.372,0.374,0.014,0.012,40.62,41.91,0.01,0,0.35,0.35,1905.09
0.372,0.373,0.014,0.012,40.64,41.91,0.01,0,0.35,0.35,1921.3
0.372,0.373,0.014,0.012,40.66,41.93,0.01,0,0.35,0.35,1946.76
0.372,0.374,0.014,0.012,40.65,41.93,0.01,0,0.35,0.35,1925.93
0.372,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1913.19
0.372,0.373,0.014,0.012,40.66,41.94,0.01,0,0.35,0.35,1936.92
0.372,0.374,0.014,0.012,40.63,41.93,0.01,0,0.35,0.35,1936.34
0.373,0.374,0.014,0.012,40.69,41.93,0.01,0,0.35,0.35,1932.29
0.374,0.374,0.014,0.012,40.58,41.93,0.01,0,0.35,0.35,1942.71
0.374,0.374,0.014,0.012,40.63,41.95,0.01,0,0.351,0.35,1947.92
0.373,0.375,0.014,0.012,40.58,41.93,0.01,0,0.35,0.35,1940.97
0.373,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1934.03
0.373,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1939.24
0.372,0.374,0.014,0.012,40.62,41.92,0.01,0,0.35,0.35,1938.66
0.373,0.374,0.014,0.012,40.65,41.93,0.01,0,0.35,0.35,1914.35
