time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
2025/3/15 23:01,0.01,0.394,0.396,0.009,0.02,42.57,41.95,0,0.37,0.37,1835.65
2025/3/15 23:01,0.01,0.393,0.395,0.009,0.02,42.57,41.93,0,0.37,0.37,1843.75
2025/3/15 23:01,0.01,0.394,0.395,0.009,0.02,42.56,41.92,0,0.37,0.37,1850.69
2025/3/15 23:01,0.01,0.394,0.397,0.009,0.02,42.59,41.89,0,0.371,0.37,1855.32
2025/3/15 23:01,0.01,0.393,0.395,0.009,0.02,42.53,41.9,0,0.37,0.37,1862.85
2025/3/15 23:01,0.01,0.393,0.395,0.009,0.02,42.55,42.01,0,0.369,0.37,1866.9
2025/3/15 23:01,0.01,0.393,0.396,0.009,0.02,42.53,41.97,0,0.37,0.37,1867.48
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.54,41.95,0,0.37,0.37,1869.21
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.53,41.92,0,0.37,0.37,1872.69
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.98,0,0.37,0.37,1872.69
2025/3/15 23:00,0.01,0.394,0.395,0.009,0.02,42.54,41.97,0,0.37,0.37,1868.06
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,42.02,0,0.37,0.37,1858.8
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.96,0,0.37,0.37,1855.32
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.54,41.92,0,0.37,0.37,1853.59
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.5,41.98,0,0.37,0.37,1846.64
2025/3/15 23:00,0.01,0.394,0.395,0.009,0.02,42.54,41.95,0,0.37,0.37,1839.12
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.52,41.97,0,0.37,0.37,1831.6
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,42.01,0,0.37,0.37,1824.65
2025/3/15 23:00,0.01,0.394,0.395,0.009,0.02,42.54,41.86,0,0.37,0.37,1812.5
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.53,41.95,0,0.371,0.37,1812.5
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.56,41.92,0,0.37,0.37,1808.45
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.54,41.94,0,0.37,0.37,1812.5
2025/3/15 23:00,0.01,0.394,0.397,0.009,0.02,42.55,41.92,0,0.371,0.37,1819.44
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,41.97,0,0.371,0.37,1825.81
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.89,0,0.37,0.37,1833.33
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.56,41.95,0,0.371,0.37,1832.18
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.96,0,0.37,0.37,1836.23
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.95,0,0.37,0.37,1837.96
2025/3/15 23:00,0.01,0.392,0.396,0.009,0.02,42.55,41.97,0,0.37,0.37,1837.38
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.55,41.93,0,0.37,0.37,1833.91
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,41.93,0,0.371,0.37,1831.6
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.54,41.97,0,0.37,0.37,1831.6
2025/3/15 23:00,0.01,0.392,0.396,0.009,0.02,42.53,41.92,0,0.369,0.37,1835.65
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.89,0,0.37,0.37,1835.65
2025/3/15 23:00,0.01,0.392,0.396,0.009,0.02,42.53,41.93,0,0.37,0.37,1829.86
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,41.92,0,0.369,0.37,1825.23
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.54,41.95,0,0.37,0.37,1820.02
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.52,41.95,0,0.37,0.37,1816.55
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,41.94,0,0.37,0.37,1814.81
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.53,41.89,0,0.37,0.37,1817.13
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.55,41.89,0,0.37,0.37,1820.6
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.52,41.89,0,0.37,0.37,1825.23
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.53,41.95,0,0.37,0.37,1832.18
2025/3/15 23:00,0.01,0.392,0.395,0.009,0.03,42.53,41.92,0,0.37,0.37,1835.07
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.53,41.91,0,0.37,0.37,1833.91
2025/3/15 23:00,0.01,0.394,0.397,0.009,0.02,42.54,41.95,0,0.37,0.37,1834.49
2025/3/15 23:00,0.01,0.394,0.397,0.009,0.02,42.53,41.97,0,0.37,0.37,1833.91
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.53,41.95,0,0.37,0.37,1833.91
2025/3/15 23:00,0.01,0.394,0.396,0.009,0.02,42.53,41.93,0,0.371,0.37,1830.44
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.54,41.94,0,0.37,0.37,1826.97
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.53,41.93,0,0.37,0.37,1830.44
2025/3/15 23:00,0.01,0.392,0.395,0.009,0.02,42.5,41.89,0,0.37,0.37,1831.6
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.5,41.87,0,0.37,0.37,1832.18
2025/3/15 23:00,0.01,0.392,0.395,0.009,0.02,42.54,41.9,0,0.369,0.37,1832.18
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.5,41.85,0,0.37,0.37,1831.6
2025/3/15 23:00,0.01,0.393,0.396,0.008,0.02,42.5,41.87,0,0.37,0.37,1831.02
2025/3/15 23:00,0.01,0.393,0.396,0.009,0.02,42.5,41.91,0,0.37,0.37,1816.55
2025/3/15 23:00,0.01,0.392,0.395,0.009,0.02,42.51,41.85,0,0.37,0.37,1816.55
2025/3/15 23:00,0.01,0.392,0.395,0.009,0.02,42.53,41.85,0,0.37,0.37,1807.29
2025/3/15 23:00,0.01,0.393,0.395,0.009,0.02,42.53,41.86,0,0.37,0.37,1807.29
