pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.451,0.449,0.012,0.009,43.43,42.87,0.01,0,0.431,0.43,1315.97
0.453,0.449,0.012,0.009,43.37,42.85,0.01,0,0.43,0.43,1308.45
0.452,0.449,0.012,0.009,43.42,42.88,0.01,0,0.431,0.43,1316.55
0.451,0.45,0.012,0.009,43.36,42.86,0.01,0,0.43,0.43,1316.55
0.454,0.449,0.012,0.009,43.39,42.86,0.01,0,0.431,0.43,1295.72
0.455,0.45,0.012,0.009,43.48,42.84,0.01,0,0.431,0.43,1269.1
0.45,0.448,0.012,0.009,43.5,42.81,0.01,0,0.428,0.43,1263.31
0.45,0.449,0.012,0.009,43.31,42.84,0.01,0,0.431,0.43,1257.52
0.451,0.448,0.012,0.009,43.42,42.78,0.01,0,0.428,0.43,1270.83
0.452,0.448,0.012,0.009,43.55,42.84,0.01,0,0.431,0.43,1260.42
0.452,0.448,0.012,0.009,43.39,42.83,0.01,0,0.43,0.43,1296.3
0.452,0.449,0.012,0.009,43.32,42.83,0.01,0,0.43,0.43,1288.19
0.452,0.449,0.012,0.009,43.28,42.83,0.01,0,0.429,0.43,1300.35
0.451,0.447,0.012,0.009,43.42,42.8,0.01,0,0.43,0.43,1296.88
0.45,0.448,0.012,0.009,43.42,42.81,0.01,0,0.43,0.43,1290.51
0.451,0.448,0.012,0.009,43.45,42.81,0.01,0,0.431,0.43,1295.72
0.452,0.45,0.012,0.009,43.34,42.81,0.01,0,0.431,0.43,1282.99
0.45,0.449,0.012,0.009,43.45,42.89,0.01,0,0.43,0.43,1285.3
0.45,0.449,0.012,0.009,43.36,42.84,0.01,0,0.429,0.43,1280.67
0.452,0.448,0.012,0.009,43.39,42.85,0.01,0,0.43,0.43,1280.09
0.452,0.448,0.012,0.009,43.44,42.83,0.01,0,0.43,0.43,1284.72
0.452,0.449,0.012,0.009,43.38,42.83,0.01,0,0.431,0.43,1285.3
0.452,0.448,0.012,0.009,43.45,42.81,0.01,0,0.43,0.43,1290.51
0.452,0.448,0.012,0.009,43.39,42.81,0.01,0,0.429,0.43,1294.56
0.452,0.448,0.012,0.009,43.37,42.81,0.01,0,0.43,0.43,1289.93
0.452,0.448,0.012,0.009,43.38,42.85,0.01,0,0.43,0.43,1306.13
0.452,0.45,0.012,0.009,43.49,42.84,0.01,0,0.431,0.43,1312.5
0.453,0.449,0.012,0.009,43.32,42.83,0.01,0,0.43,0.43,1308.45
0.451,0.449,0.012,0.009,43.46,42.81,0.01,0,0.429,0.43,1311.92
0.451,0.449,0.012,0.009,43.39,42.81,0.01,0,0.43,0.43,1304.98
0.452,0.447,0.012,0.009,43.3,42.79,0.01,0,0.43,0.43,1277.78
0.451,0.448,0.012,0.009,43.4,42.82,0.01,0,0.43,0.43,1299.77
0.451,0.448,0.012,0.009,43.45,42.76,0.01,0,0.429,0.43,1264.47
0.453,0.448,0.012,0.009,43.43,42.77,0.01,0,0.43,0.43,1271.99
0.453,0.449,0.012,0.009,43.38,42.76,0.01,0,0.431,0.43,1252.89
0.451,0.447,0.012,0.009,43.33,42.75,0.01,0,0.429,0.43,1257.52
0.451,0.449,0.012,0.009,43.42,42.8,0.01,0,0.43,0.43,1259.26
0.451,0.449,0.012,0.009,43.36,42.77,0.01,0,0.43,0.43,1252.89
0.451,0.447,0.012,0.009,43.39,42.8,0.01,0,0.43,0.43,1272.57
0.451,0.447,0.012,0.009,43.38,42.72,0.01,0,0.429,0.43,1260.42
0.452,0.449,0.012,0.009,43.36,42.82,0.01,0,0.43,0.43,1304.4
0.453,0.449,0.012,0.009,43.37,42.8,0.01,0,0.431,0.43,1287.04
0.453,0.449,0.012,0.009,43.33,42.8,0.01,0,0.431,0.43,1310.19
0.451,0.448,0.012,0.009,43.38,42.81,0.01,0,0.43,0.43,1310.76
0.451,0.449,0.012,0.009,43.43,42.87,0.01,0,0.43,0.43,1300.35
0.452,0.45,0.012,0.009,43.42,42.81,0.01,0,0.431,0.43,1312.5
0.452,0.449,0.012,0.009,43.33,42.84,0.01,0,0.431,0.43,1293.98
0.451,0.45,0.012,0.009,43.37,42.81,0.01,0,0.429,0.43,1293.98
0.452,0.448,0.012,0.009,43.42,42.79,0.01,0,0.43,0.43,1299.19
0.452,0.448,0.012,0.009,43.37,42.85,0.01,0,0.43,0.43,1294.56
0.452,0.449,0.012,0.009,43.42,42.81,0.01,0,0.43,0.43,1302.66
0.452,0.449,0.012,0.009,43.46,42.8,0.01,0,0.43,0.43,1310.76
0.447,0.448,0.012,0.009,43.59,42.62,0.01,0,0.428,0.43,1311.34
0.451,0.446,0.012,0.009,43.36,42.62,0.01,0,0.43,0.43,1306.13
0.454,0.452,0.012,0.009,43.23,42.83,0.01,0,0.433,0.43,1291.67
0.451,0.447,0.012,0.009,43.25,42.78,0.01,0,0.429,0.43,1290.51
0.452,0.448,0.012,0.009,43.49,42.87,0.01,0,0.428,0.43,1291.09
0.452,0.448,0.012,0.009,43.45,42.8,0.01,0,0.429,0.43,1293.4
0.453,0.45,0.012,0.009,43.48,42.78,0.01,0,0.432,0.43,1290.51
0.451,0.448,0.012,0.009,43.42,42.82,0.01,0,0.429,0.43,1297.45
0.452,0.447,0.012,0.009,43.33,42.77,0.01,0,0.43,0.43,1301.5
0.453,0.45,0.012,0.009,43.33,42.81,0.01,0,0.43,0.43,1301.5
0.451,0.447,0.012,0.009,43.26,42.83,0.01,0,0.43,0.43,1301.5
0.452,0.449,0.012,0.009,43.42,42.82,0.01,0,0.431,0.43,1300.93
0.452,0.449,0.012,0.009,43.35,42.82,0.01,0,0.43,0.43,1300.93
0.451,0.447,0.012,0.009,43.41,42.82,0.01,0,0.43,0.43,1299.77
0.451,0.448,0.012,0.009,43.45,42.76,0.01,0,0.429,0.43,1293.98
0.452,0.449,0.012,0.009,43.34,42.81,0.01,0,0.431,0.43,1295.14
0.452,0.447,0.012,0.009,43.34,42.83,0.01,0,0.431,0.43,1296.3
0.451,0.448,0.012,0.009,43.45,42.81,0.01,0,0.429,0.43,1282.99
0.452,0.448,0.012,0.009,43.37,42.78,0.01,0,0.43,0.43,1276.04
0.451,0.448,0.012,0.009,43.33,42.78,0.01,0,0.429,0.43,1276.04
0.45,0.449,0.012,0.009,43.42,42.79,0.01,0,0.429,0.43,1286.46
0.451,0.449,0.012,0.009,43.36,42.83,0.01,0,0.431,0.43,1295.72
0.451,0.448,0.012,0.009,43.27,42.78,0.01,0,0.43,0.43,1291.09
0.452,0.45,0.012,0.009,43.42,42.81,0.01,0,0.43,0.43,1302.66
0.45,0.448,0.012,0.009,43.26,42.76,0.01,0,0.428,0.43,1314.81
0.451,0.448,0.012,0.009,43.42,42.82,0.01,0,0.429,0.43,1313.08
0.453,0.448,0.012,0.009,43.32,42.79,0.01,0,0.431,0.43,1313.08
0.453,0.447,0.012,0.009,43.4,42.82,0.01,0,0.429,0.43,1310.76
0.452,0.448,0.012,0.009,43.38,42.79,0.01,0,0.429,0.43,1299.19
0.451,0.448,0.012,0.009,43.36,42.75,0.01,0,0.43,0.43,1291.67
0.453,0.448,0.012,0.009,43.35,42.83,0.01,0,0.431,0.43,1277.78
0.453,0.447,0.012,0.009,43.34,42.82,0.01,0,0.43,0.43,1266.2
0.45,0.449,0.012,0.009,43.29,42.76,0.01,0,0.43,0.43,1269.68
0.452,0.449,0.012,0.009,43.37,42.81,0.01,0,0.43,0.43,1287.04
0.451,0.45,0.012,0.009,43.38,42.83,0.01,0,0.43,0.43,1265.63
0.452,0.448,0.012,0.009,43.33,42.82,0.01,0,0.43,0.43,1288.77
0.451,0.449,0.012,0.009,43.37,42.8,0.01,0,0.43,0.43,1296.88
0.45,0.448,0.012,0.009,43.34,42.8,0.01,0,0.429,0.43,1302.08
0.453,0.45,0.012,0.009,43.32,42.82,0.01,0,0.431,0.43,1296.88
0.451,0.448,0.012,0.009,43.4,42.76,0.01,0,0.429,0.43,1298.61
0.451,0.449,0.012,0.009,43.44,42.8,0.01,0,0.43,0.43,1298.03
0.451,0.449,0.012,0.009,43.34,42.79,0.01,0,0.43,0.43,1304.4
0.453,0.449,0.012,0.009,43.3,42.8,0.01,0,0.431,0.43,1299.77
0.452,0.448,0.012,0.009,43.41,42.81,0.01,0,0.429,0.43,1302.66
0.451,0.45,0.012,0.009,43.34,42.81,0.01,0,0.43,0.43,1304.4
0.451,0.448,0.012,0.009,43.34,42.76,0.01,0,0.43,0.43,1289.35
0.451,0.448,0.012,0.009,43.36,42.76,0.01,0,0.43,0.43,1294.56
0.45,0.448,0.012,0.009,43.4,42.84,0.01,0,0.431,0.43,1271.99
0.451,0.449,0.012,0.009,43.23,42.8,0.01,0,0.431,0.43,1288.19
0.453,0.451,0.012,0.009,43.3,42.85,0.01,0,0.431,0.43,1249.42
0.452,0.448,0.012,0.009,43.41,42.8,0.01,0,0.43,0.43,1261.57
0.45,0.447,0.012,0.009,43.37,42.78,0.01,0,0.428,0.43,1244.79
0.454,0.449,0.012,0.009,43.45,42.83,0.01,0,0.431,0.43,1245.37
0.451,0.447,0.012,0.009,43.39,42.72,0.01,0,0.43,0.43,1247.69
0.453,0.449,0.012,0.009,43.21,42.78,0.01,0,0.431,0.43,1244.21
0.45,0.448,0.012,0.009,43.22,42.76,0.01,0,0.429,0.43,1247.69
0.45,0.447,0.012,0.009,43.35,42.81,0.01,0,0.429,0.43,1248.26
0.451,0.447,0.012,0.009,43.37,42.78,0.01,0,0.429,0.43,1254.05
0.452,0.448,0.012,0.009,43.41,42.81,0.01,0,0.431,0.43,1249.42
0.452,0.448,0.012,0.009,43.29,42.81,0.01,0,0.431,0.43,1252.89
0.453,0.45,0.012,0.009,43.31,42.79,0.01,0,0.431,0.43,1252.89
0.451,0.45,0.012,0.009,43.32,42.81,0.01,0,0.43,0.43,1252.89
0.452,0.45,0.012,0.009,43.42,42.77,0.01,0,0.43,0.43,1258.1
0.453,0.45,0.012,0.009,43.47,42.78,0.01,0,0.43,0.43,1270.25
0.452,0.448,0.012,0.009,43.36,42.83,0.01,0,0.43,0.43,1263.89
0.45,0.448,0.012,0.009,43.27,42.78,0.01,0,0.429,0.43,1272.57
0.452,0.447,0.012,0.009,43.23,42.76,0.01,0,0.431,0.43,1272.57
0.451,0.449,0.012,0.009,43.3,42.78,0.01,0,0.431,0.43,1267.94
0.453,0.448,0.012,0.009,43.37,42.8,0.01,0,0.43,0.43,1263.31
0.453,0.449,0.012,0.009,43.39,42.83,0.01,0,0.43,0.43,1263.89
0.451,0.447,0.012,0.009,43.37,42.81,0.01,0,0.429,0.43,1263.31
0.452,0.448,0.012,0.009,43.3,42.73,0.01,0,0.431,0.43,1274.88
0.451,0.449,0.012,0.009,43.34,42.77,0.01,0,0.429,0.43,1263.89
