time,flow
2024-12-03 00:00:02,1904
2024-12-03 00:03:02,1727
2024-12-03 00:06:02,1785
2024-12-03 00:09:02,1808
2024-12-03 00:12:02,1775
2024-12-03 00:15:02,1785
2024-12-03 00:18:03,1786
2024-12-03 00:21:03,1775
2024-12-03 00:24:02,1788
2024-12-03 00:27:02,1772
2024-12-03 00:30:03,1757
2024-12-03 00:33:02,1761
2024-12-03 00:36:02,1776
2024-12-03 00:39:02,1821
2024-12-03 00:42:02,1778
2024-12-03 00:45:02,1805
2024-12-03 00:48:02,1754
2024-12-03 00:51:02,1764
2024-12-03 00:54:02,1798
2024-12-03 00:57:02,1742
2024-12-03 01:00:03,1733
2024-12-03 01:03:02,1767
2024-12-03 01:06:03,1767
2024-12-03 01:09:02,1742
2024-12-03 01:12:02,1770
2024-12-03 01:15:03,1742
2024-12-03 01:18:02,1730
2024-12-03 01:21:02,1767
2024-12-03 01:24:02,1754
2024-12-03 01:27:02,1754
2024-12-03 01:30:03,1772
2024-12-03 01:33:02,1725
2024-12-03 01:36:02,1711
2024-12-03 01:39:02,1747
2024-12-03 01:42:02,1742
2024-12-03 01:45:02,1755
2024-12-03 01:48:02,1782
2024-12-03 01:51:02,1782
2024-12-03 01:54:02,1779
2024-12-03 01:57:02,1786
2024-12-03 02:00:04,1798
2024-12-03 02:03:02,1776
2024-12-03 02:06:02,1757
2024-12-03 02:09:02,1736
2024-12-03 02:12:02,1737
2024-12-03 02:15:02,1762
2024-12-03 02:18:02,1785
2024-12-03 02:21:03,1738
2024-12-03 02:24:03,1768
2024-12-03 02:27:02,1756
2024-12-03 02:30:03,1725
2024-12-03 02:33:03,1743
2024-12-03 02:36:03,1757
2024-12-03 02:39:03,1745
2024-12-03 02:42:02,1792
2024-12-03 02:45:02,1780
2024-12-03 02:48:02,1786
2024-12-03 02:51:02,1725
2024-12-03 02:54:02,1721
2024-12-03 02:57:02,1740
2024-12-03 03:00:02,1775
2024-12-03 03:03:02,1764
2024-12-03 03:06:02,1794
2024-12-03 03:09:02,1793
2024-12-03 03:12:02,1753
2024-12-03 03:15:03,1736
2024-12-03 03:18:03,1755
2024-12-03 03:21:02,1716
2024-12-03 03:24:02,1729
2024-12-03 03:27:02,1754
2024-12-03 03:30:02,1753
2024-12-03 03:33:02,1805
2024-12-03 03:36:02,1780
2024-12-03 03:39:02,1760
2024-12-03 03:42:02,1765
