time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,sum_pressure,target_pressure,flow,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency
2024-12-03 12:00:00,0.397,0.402,0.011,0.009,0.379,0.37,1720.0,39.43,41.23,0.02,0.01
2024-12-03 12:00:00,0.388,0.396,0.011,0.009,0.379,0.37,1720.0,41.18,41.18,0.02,0.01
2024-12-03 12:00:00,0.402,0.404,0.011,0.009,0.383,0.37,1720.0,40.24,40.98,0.02,0.01
2024-12-03 12:00:00,0.396,0.396,0.011,0.009,0.376,0.37,1720.0,40.11,40.55,0.02,0.01
2024-12-03 12:00:00,0.393,0.392,0.011,0.009,0.373,0.37,1720.0,40.41,40.58,0.02,0.01
2024-12-03 12:00:00,0.395,0.395,0.011,0.009,0.375,0.37,1720.0,40.1,40.72,0.02,0.01
2024-12-03 12:00:00,0.394,0.394,0.011,0.009,0.374,0.37,1720.0,39.91,40.65,0.02,0.01
2024-12-03 12:00:00,0.392,0.393,0.011,0.009,0.373,0.37,1720.0,39.96,40.65,0.02,0.01
2024-12-03 12:00:00,0.393,0.392,0.011,0.009,0.373,0.37,1720.0,39.78,40.64,0.02,0.01
2024-12-03 12:00:00,0.392,0.393,0.011,0.009,0.372,0.37,1720.0,39.71,40.61,0.02,0.01
2024-12-03 12:00:00,0.391,0.391,0.011,0.009,0.371,0.37,1720.0,39.73,40.57,0.02,0.01
2024-12-03 12:00:00,0.392,0.391,0.011,0.009,0.371,0.37,1720.0,39.77,40.56,0.02,0.01
2024-12-03 12:00:00,0.391,0.391,0.011,0.009,0.372,0.37,1720.0,39.67,40.56,0.02,0.01
2024-12-03 12:00:00,0.391,0.392,0.011,0.009,0.371,0.37,1720.0,39.62,40.53,0.02,0.01
2024-12-03 12:00:00,0.391,0.392,0.011,0.009,0.372,0.37,1720.0,39.58,40.53,0.02,0.01
2024-12-03 12:00:00,0.391,0.391,0.011,0.009,0.371,0.37,1720.0,39.46,40.47,0.02,0.01
2024-12-03 12:00:00,0.39,0.39,0.011,0.009,0.371,0.37,1720.0,39.6,40.45,0.02,0.01
2024-12-03 12:00:00,0.39,0.391,0.011,0.009,0.372,0.37,1720.0,39.51,40.46,0.02,0.01
