time,flow
2024-12-05 00:00:05,1863
2024-12-05 00:03:07,1662
2024-12-05 00:06:06,1703
2024-12-05 00:09:06,1723
2024-12-05 00:12:07,1770
2024-12-05 00:15:07,1764
2024-12-05 00:18:07,1765
2024-12-05 00:21:05,1794
2024-12-05 00:24:06,1777
2024-12-05 00:27:06,1786
2024-12-05 00:30:06,1793
2024-12-05 00:33:07,1763
2024-12-05 00:36:06,1775
2024-12-05 00:39:07,1771
2024-12-05 00:42:07,1776
2024-12-05 00:45:07,1762
2024-12-05 00:48:07,1731
2024-12-05 00:51:07,1742
2024-12-05 00:54:07,1779
2024-12-05 00:57:07,1752
2024-12-05 01:00:07,1753
2024-12-05 01:03:07,1715
2024-12-05 01:06:06,1714
2024-12-05 01:09:06,1751
2024-12-05 01:12:07,1683
2024-12-05 01:15:07,1707
2024-12-05 01:18:07,1706
2024-12-05 01:21:08,1713
2024-12-05 01:24:07,1733
2024-12-05 01:27:07,1706
2024-12-05 01:30:06,1702
2024-12-05 01:33:06,1727
2024-12-05 01:36:06,1761
2024-12-05 01:39:06,1753
2024-12-05 01:42:06,1720
2024-12-05 01:45:06,1751
2024-12-05 01:48:06,1741
2024-12-05 01:51:07,1751
2024-12-05 01:54:08,1710
2024-12-05 01:57:07,1698
2024-12-05 02:00:18,1738
2024-12-05 02:03:07,1725
2024-12-05 02:06:06,1690
2024-12-05 02:09:07,1703
2024-12-05 02:12:07,1706
2024-12-05 02:15:06,1724
2024-12-05 02:18:07,1703
2024-12-05 02:21:07,1746
2024-12-05 02:24:07,1710
2024-12-05 02:27:06,1685
2024-12-05 02:30:07,1709
2024-12-05 02:33:08,1746
2024-12-05 02:36:07,1704
2024-12-05 02:39:08,1750
2024-12-05 02:42:06,1738
2024-12-05 02:45:07,1720
2024-12-05 02:48:07,1709
2024-12-05 02:51:06,1727
2024-12-05 02:54:06,1732
2024-12-05 02:57:07,1754
2024-12-05 03:00:06,1732
2024-12-05 03:03:06,1733
2024-12-05 03:06:08,1686
2024-12-05 03:09:06,1686
2024-12-05 03:12:07,1699
2024-12-05 03:15:08,1707
2024-12-05 03:18:07,1689
2024-12-05 03:21:06,1701
2024-12-05 03:24:05,1733
2024-12-05 03:27:07,1699
2024-12-05 03:30:07,1683
2024-12-05 03:33:06,1714
2024-12-05 03:36:06,1719
2024-12-05 03:39:06,1717
2024-12-05 03:42:07,1790
2024-12-05 03:45:07,1831
2024-12-05 03:48:06,1781
2024-12-05 03:51:07,1741
2024-12-05 03:54:06,1721
2024-12-05 03:57:06,1742
2024-12-05 04:00:07,1752
2024-12-05 04:03:06,1802
2024-12-05 04:06:07,1756
2024-12-05 04:09:06,1741
2024-12-05 04:12:07,1707
2024-12-05 04:15:07,1728
2024-12-05 04:18:07,1739
2024-12-05 04:21:07,1753
2024-12-05 04:24:05,1758
2024-12-05 04:27:07,1760
2024-12-05 04:30:07,1774
2024-12-05 04:33:07,2534
2024-12-05 04:36:06,2239
2024-12-05 04:39:06,2224
2024-12-05 04:42:06,2228
2024-12-05 04:45:07,2184
2024-12-05 04:48:06,2216
2024-12-05 04:51:07,2224
2024-12-05 04:54:07,2216
2024-12-05 04:57:07,2209
2024-12-05 05:00:06,2167
2024-12-05 05:03:07,2236
2024-12-05 05:06:06,2242
2024-12-05 05:09:07,2201
2024-12-05 05:12:06,2280
2024-12-05 05:15:06,2254
2024-12-05 05:18:06,2260
2024-12-05 05:21:07,2280
2024-12-05 05:24:07,2268
2024-12-05 05:27:07,2291
2024-12-05 05:30:08,2344
2024-12-05 05:33:08,1748
2024-12-05 05:36:07,1715
2024-12-05 05:39:07,1677
2024-12-05 05:42:06,1665
2024-12-05 05:45:07,1685
2024-12-05 05:48:06,1692
2024-12-05 05:51:06,1734
2024-12-05 05:54:07,1723
2024-12-05 05:57:07,1739
2024-12-05 06:00:06,1775
2024-12-05 06:03:07,1792
2024-12-05 06:06:07,1834
2024-12-05 06:09:07,1840
2024-12-05 06:12:07,1877
2024-12-05 06:15:07,1914
2024-12-05 06:18:07,1938
2024-12-05 06:21:08,1965
2024-12-05 06:24:06,1981
2024-12-05 06:27:07,1985
2024-12-05 06:30:07,2028
2024-12-05 06:33:07,2000
2024-12-05 06:36:06,2017
2024-12-05 06:39:07,2113
2024-12-05 06:42:07,2066
2024-12-05 06:45:06,2159
2024-12-05 06:48:06,2136
2024-12-05 06:51:07,2192
2024-12-05 06:54:06,2235
2024-12-05 06:57:07,2267
2024-12-05 07:00:08,2212
2024-12-05 07:03:20,2288
2024-12-05 07:06:06,2266
2024-12-05 07:09:07,2273
2024-12-05 07:12:06,2238
2024-12-05 07:15:06,2279
2024-12-05 07:18:07,2314
2024-12-05 07:21:19,2275
2024-12-05 07:24:07,2268
2024-12-05 07:27:06,2220
2024-12-05 07:30:07,2239
2024-12-05 07:33:06,2204
2024-12-05 07:36:06,2172
2024-12-05 07:39:06,2185
2024-12-05 07:42:06,2202
2024-12-05 07:45:07,2161
2024-12-05 07:48:06,2330
2024-12-05 07:51:06,2570
2024-12-05 07:54:06,2588
2024-12-05 07:57:07,2589
2024-12-05 08:00:06,2573
2024-12-05 08:03:06,2568
2024-12-05 08:06:07,2579
2024-12-05 08:09:06,2545
2024-12-05 08:12:06,2552
2024-12-05 08:15:06,2248
2024-12-05 08:18:07,2209
2024-12-05 08:21:07,2202
2024-12-05 08:24:06,2236
2024-12-05 08:27:08,2162
2024-12-05 08:30:03,2164
2024-12-05 08:36:08,1982
2024-12-05 08:39:07,1913
2024-12-05 08:42:06,1971
2024-12-05 08:45:06,1915
2024-12-05 08:48:06,1874
2024-12-05 08:51:07,1869
2024-12-05 08:54:07,1922
2024-12-05 08:57:07,1991
2024-12-05 09:00:08,1960
2024-12-05 09:03:07,1963
2024-12-05 09:06:06,1940
2024-12-05 09:09:06,1907
2024-12-05 09:12:06,1907
2024-12-05 09:15:07,1876
2024-12-05 09:18:07,1955
2024-12-05 09:21:06,1912
2024-12-05 09:24:07,1956
2024-12-05 09:27:07,1840
2024-12-05 09:30:06,1843
2024-12-05 09:33:07,1825
2024-12-05 09:36:07,1893
2024-12-05 09:39:06,1916
2024-12-05 09:42:06,1916
2024-12-05 09:45:07,1772
2024-12-05 09:48:07,1743
2024-12-05 09:51:06,2005
2024-12-05 09:54:07,1866
2024-12-05 09:57:07,2214
2024-12-05 10:00:08,2251
2024-12-05 10:03:06,2240
2024-12-05 10:06:07,2444
2024-12-05 10:09:06,2361
2024-12-05 10:12:06,2296
2024-12-05 10:15:07,2210
2024-12-05 10:18:07,2212
2024-12-05 10:21:06,2257
2024-12-05 10:24:07,1832
2024-12-05 10:27:07,1818
2024-12-05 10:30:06,1805
2024-12-05 10:33:07,1809
2024-12-05 10:36:06,1857
2024-12-05 10:39:07,1865
2024-12-05 10:42:07,1806
2024-12-05 10:45:07,1801
2024-12-05 10:48:07,1853
2024-12-05 10:51:06,1857
2024-12-05 10:54:07,1858
2024-12-05 10:57:06,1836
2024-12-05 11:00:06,1809
2024-12-05 11:03:07,1830
2024-12-05 11:06:06,1855
2024-12-05 11:09:07,1775
2024-12-05 11:12:07,1821
2024-12-05 11:15:07,1857
2024-12-05 11:18:07,1783
2024-12-05 11:21:06,1820
2024-12-05 11:24:07,1823
2024-12-05 11:27:07,1809
2024-12-05 11:30:07,1752
2024-12-05 11:33:06,1749
2024-12-05 11:36:07,1754
