time,flow
2024/12/04 00:00,1928
2024/12/04 00:03,1753
2024/12/04 00:06,1790
2024/12/04 00:09,1790
2024/12/04 00:12,1790
2024/12/04 00:24,1925
2024/12/04 00:27,2434
2024/12/04 00:30,2094
2024/12/04 00:33,2020
2024/12/04 00:36,1967
2024/12/04 00:39,1949
2024/12/04 00:42,1873
2024/12/04 00:45,1805
2024/12/04 00:48,1803
2024/12/04 00:51,1793
2024/12/04 00:54,1767
2024/12/04 00:57,1733
2024/12/04 01:00,1780
2024/12/04 01:03,1757
2024/12/04 01:06,1769
2024/12/04 01:09,1696
2024/12/04 01:12,1701
2024/12/04 01:15,1715
2024/12/04 01:18,1694
2024/12/04 01:21,1705
2024/12/04 01:24,1700
2024/12/04 01:27,1688
2024/12/04 01:30,1696
2024/12/04 01:33,1702
2024/12/04 01:36,1695
2024/12/04 01:39,1691
2024/12/04 01:42,1702
2024/12/04 01:45,1704
2024/12/04 01:48,1667
2024/12/04 01:51,1702
2024/12/04 01:54,1750
2024/12/04 01:57,1750
2024/12/04 02:00,1737
2024/12/04 02:03,1732
2024/12/04 02:06,1759
2024/12/04 02:09,1721
2024/12/04 02:12,1735
2024/12/04 02:15,1707
2024/12/04 02:18,1704
2024/12/04 02:21,1708
2024/12/04 02:24,1696
2024/12/04 02:27,1698
2024/12/04 02:30,1647
2024/12/04 02:33,1676
2024/12/04 02:36,1698
2024/12/04 02:39,1702
2024/12/04 02:42,1718
2024/12/04 02:45,1689
2024/12/04 02:48,1677
2024/12/04 02:51,1702
2024/12/04 02:54,1744
2024/12/04 02:57,1761
2024/12/04 03:00,1741
2024/12/04 03:03,1757
2024/12/04 03:06,1771
2024/12/04 03:09,1754
2024/12/04 03:12,1747
2024/12/04 03:15,1734
2024/12/04 03:18,1728
2024/12/04 03:21,1712
2024/12/04 03:24,1780
2024/12/04 03:27,1716
2024/12/04 03:30,1741
2024/12/04 03:33,1711
2024/12/04 03:36,1708
2024/12/04 03:39,1699
2024/12/04 03:42,1732
2024/12/04 03:45,1750
2024/12/04 03:48,1734
2024/12/04 03:51,1730
2024/12/04 03:54,1755
2024/12/04 03:57,1735
2024/12/04 04:00,1706
2024/12/04 04:03,1710
2024/12/04 04:06,1758
2024/12/04 04:09,1792
2024/12/04 04:12,1804
2024/12/04 04:15,1774
2024/12/04 04:18,1767
2024/12/04 04:21,1733
2024/12/04 04:24,1750
2024/12/04 04:27,1732
2024/12/04 04:30,1747
2024/12/04 04:33,2736
2024/12/04 04:36,2336
2024/12/04 04:39,2272
2024/12/04 04:42,2310
2024/12/04 04:45,2233
2024/12/04 04:48,2204
2024/12/04 04:51,2246
2024/12/04 04:54,2210
2024/12/04 04:57,2268
2024/12/04 05:00,2201
2024/12/04 05:03,2258
2024/12/04 05:06,2302
2024/12/04 05:09,2293
2024/12/04 05:12,2272
2024/12/04 05:15,2320
2024/12/04 05:18,2318
2024/12/04 05:21,2318
2024/12/04 05:24,2318
2024/12/04 05:27,2375
2024/12/04 05:30,2437
2024/12/04 05:33,2854
2024/12/04 05:36,2709
2024/12/04 05:39,2743
2024/12/04 05:42,2710
2024/12/04 05:45,2653
2024/12/04 05:48,2727
2024/12/04 05:51,2723
2024/12/04 05:54,2767
2024/12/04 05:57,2801
2024/12/04 06:00,2721
2024/12/04 06:03,2769
2024/12/04 06:06,2745
2024/12/04 06:09,2880
2024/12/04 06:12,2900
2024/12/04 06:15,2882
2024/12/04 06:18,2885
2024/12/04 06:21,2897
2024/12/04 06:24,2984
2024/12/04 06:27,2417
2024/12/04 06:30,2037
2024/12/04 06:33,2119
2024/12/04 06:36,2169
2024/12/04 06:39,2177
2024/12/04 06:42,2232
2024/12/04 06:45,2260
2024/12/04 06:48,2298
2024/12/04 06:51,2352
2024/12/04 06:54,2294
2024/12/04 06:57,2423
2024/12/04 07:00,2532
2024/12/04 07:03,2471
2024/12/04 07:06,2890
2024/12/04 07:09,2875
2024/12/04 07:12,2856
2024/12/04 07:15,2802
2024/12/04 07:18,2784
2024/12/04 07:21,2852
2024/12/04 07:24,2853
2024/12/04 07:27,2804
2024/12/04 07:30,2769
2024/12/04 07:33,2367
2024/12/04 07:36,2358
2024/12/04 07:39,2371
2024/12/04 07:42,2323
2024/12/04 07:45,2333
2024/12/04 07:48,2346
2024/12/04 07:51,2346
2024/12/04 07:54,2323
2024/12/04 07:57,2253
2024/12/04 08:00,2262
2024/12/04 08:03,2274
2024/12/04 08:06,2278
2024/12/04 08:09,2226
2024/12/04 08:12,2239
2024/12/04 08:15,2262
2024/12/04 08:18,2272
2024/12/04 08:21,2240
2024/12/04 08:24,2199
2024/12/04 08:27,2193
2024/12/04 08:30,2218
2024/12/04 08:33,1908
2024/12/04 08:36,1996
2024/12/04 08:39,2004
2024/12/04 08:42,1966
2024/12/04 08:45,1965
2024/12/04 08:48,1930
2024/12/04 08:51,2209
2024/12/04 08:54,2401
2024/12/04 08:57,2381
2024/12/04 09:00,2419
2024/12/04 09:03,2371
2024/12/04 09:06,2382
2024/12/04 09:09,2410
2024/12/04 09:12,2346
2024/12/04 09:15,2337
2024/12/04 09:18,2380
2024/12/04 09:21,1963
2024/12/04 09:24,2009
2024/12/04 09:27,1993
2024/12/04 09:30,1962
2024/12/04 09:33,2017
2024/12/04 09:36,2028
2024/12/04 09:39,2012
2024/12/04 09:42,2004
2024/12/04 09:45,1965
2024/12/04 09:48,1936
2024/12/04 09:51,1959
2024/12/04 09:54,1947
2024/12/04 09:57,1967
2024/12/04 10:00,1946
2024/12/04 10:03,1968
2024/12/04 10:06,1981
2024/12/04 10:09,2008
2024/12/04 10:12,1998
2024/12/04 10:15,1998
2024/12/04 10:18,1998
2024/12/04 10:21,1926
2024/12/04 10:24,1931
2024/12/04 10:27,1960
2024/12/04 10:30,1949
2024/12/04 10:33,1919
2024/12/04 10:36,1932
2024/12/04 10:39,1933
2024/12/04 10:42,1981
2024/12/04 10:45,2349
2024/12/04 10:48,2357
2024/12/04 10:51,2343
2024/12/04 10:54,2338
2024/12/04 10:57,2369
2024/12/04 11:00,2325
2024/12/04 11:03,2319
2024/12/04 11:06,2307
2024/12/04 11:09,2387
2024/12/04 11:12,2348
2024/12/04 11:15,1942
2024/12/04 11:18,1912
2024/12/04 11:21,1927
2024/12/04 11:24,1957
2024/12/04 11:27,1905
2024/12/04 11:30,1905
2024/12/04 11:33,1923
2024/12/04 11:36,1885
2024/12/04 11:39,1867
2024/12/04 11:42,1963
2024/12/04 11:45,1911
2024/12/04 11:48,1869
2024/12/04 11:51,1916
2024/12/04 11:54,1910
2024/12/04 11:57,1887
2024/12/04 12:00,1869
2024/12/04 12:03,2474
2024/12/04 12:06,2576
2024/12/04 12:09,2513
2024/12/04 12:12,2530
2024/12/04 12:15,2511
2024/12/04 12:18,2456
2024/12/04 12:21,2501
2024/12/04 12:24,2489
2024/12/04 12:27,2460
2024/12/04 12:30,2467
2024/12/04 12:33,2480
2024/12/04 12:36,2446
2024/12/04 12:39,2422
2024/12/04 12:42,2413
2024/12/04 12:45,2418
2024/12/04 12:48,2408
2024/12/04 12:51,2380
2024/12/04 12:54,2399
2024/12/04 12:57,2425
2024/12/04 13:00,2412
2024/12/04 13:03,2234
2024/12/04 13:06,2335
2024/12/04 13:09,2332
2024/12/04 13:12,2367
2024/12/04 13:15,2368
2024/12/04 13:18,2321
2024/12/04 13:21,2390
2024/12/04 13:24,2672
2024/12/04 13:27,2725
2024/12/04 13:30,2757
2024/12/04 13:33,2771
2024/12/04 13:36,2766
2024/12/04 13:39,2772
2024/12/04 13:42,2766
2024/12/04 13:45,2779
2024/12/04 13:48,2736
2024/12/04 13:51,2743
2024/12/04 13:54,2781
2024/12/04 13:57,2390
2024/12/04 14:00,2453
2024/12/04 14:03,2459
2024/12/04 14:06,2436
2024/12/04 14:09,2307
2024/12/04 14:12,2388
2024/12/04 14:15,2350
2024/12/04 14:18,2378
2024/12/04 14:21,2352
2024/12/04 14:24,2396
2024/12/04 14:27,2408
2024/12/04 14:30,2352
2024/12/04 14:33,2395
2024/12/04 14:36,2417
2024/12/04 14:39,2355
2024/12/04 14:42,2373
2024/12/04 14:45,2348
2024/12/04 14:48,2437
2024/12/04 14:51,2495
2024/12/04 14:54,2485
2024/12/04 14:57,2531
2024/12/04 15:00,2445
2024/12/04 15:03,2418
2024/12/04 15:06,2407
2024/12/04 15:09,2404
2024/12/04 15:12,2431
2024/12/04 15:15,2440
