time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.51,37.4,0,0.3,0,1574.65
2025-03-22 00:00:00,0.011,0.323,0.323,0.009,0.02,38.49,37.45,0,0.299,0,1571.76
2025-03-22 00:00:00,0.011,0.322,0.323,0.009,0.02,38.46,37.37,0,0.299,0,1571.18
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.03,38.46,37.28,0,0.3,0,1569.44
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.48,37.38,0,0.3,0,1562.5
2025-03-22 00:00:00,0.011,0.322,0.323,0.009,0.02,38.45,37.29,0,0.3,0,1566.55
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.45,37.38,0,0.3,0,1556.13
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.03,38.45,37.27,0,0.299,0,1550.35
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.45,37.37,0,0.3,0,1550.93
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.45,37.34,0,0.3,0,1554.4
2025-03-22 00:00:00,0.011,0.322,0.323,0.009,0.02,38.45,37.36,0,0.3,0,1567.13
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.5,37.34,0,0.301,0,1570.02
2025-03-22 00:00:00,0.011,0.323,0.325,0.009,0.02,38.47,37.36,0,0.3,0,1556.71
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.5,37.4,0,0.3,0,1565.39
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.51,37.34,0,0.3,0,1594.91
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.03,38.51,37.34,0,0.3,0,1568.29
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.5,37.42,0,0.3,0,1568.29
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.5,37.34,0,0.3,0,1571.76
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.51,37.32,0,0.299,0,1575.23
2025-03-22 00:00:00,0.011,0.323,0.325,0.009,0.03,38.5,37.34,0,0.3,0,1583.91
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.48,37.34,0,0.3,0,1598.96
2025-03-22 00:00:00,0.011,0.322,0.323,0.009,0.02,38.49,37.35,0,0.3,0,1600.69
2025-03-22 00:00:00,0.011,0.322,0.325,0.009,0.02,38.48,37.36,0,0.3,0,1603.59
2025-03-22 00:00:00,0.011,0.321,0.324,0.009,0.02,38.49,37.36,0,0.299,0,1602.43
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.03,38.49,37.35,0,0.3,0,1602.43
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.48,37.26,0,0.301,0,1605.9
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.48,37.33,0,0.3,0,1600.12
2025-03-22 00:00:00,0.011,0.321,0.324,0.009,0.02,38.44,37.34,0,0.299,0,1571.18
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.02,38.51,37.34,0,0.301,0,1565.97
2025-03-22 00:00:00,0.011,0.323,0.323,0.009,0.02,38.49,37.34,0,0.3,0,1583.33
2025-03-22 00:00:00,0.011,0.323,0.324,0.009,0.03,38.43,37.29,0,0.301,0,1573.5
2025-03-22 00:00:00,0.011,0.323,0.323,0.009,0.03,38.45,37.37,0,0.3,0,1575.23
2025-03-22 00:00:00,0.011,0.323,0.325,0.009,0.02,38.46,37.35,0,0.3,0,1576.39
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.43,37.3,0,0.3,0,1557.87
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.43,37.3,0,0.3,0,1554.4
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.42,37.28,0,0.3,0,1553.82
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.42,37.25,0,0.3,0,1553.82
2025-03-22 00:00:00,0.011,0.321,0.323,0.009,0.02,38.43,37.29,0,0.3,0,1555.56
2025-03-22 00:00:00,0.011,0.322,0.324,0.009,0.02,38.43,37.29,0,0.3,0,1560.76
