pred_pump_1_freq,pred_pump_2_freq,pred_pump_3_freq,pred_pump_4_freq,actual_pump_1_freq,actual_pump_2_freq,actual_pump_3_freq,actual_pump_4_freq
40.5,41.72,0.01,0.0,40.48,41.78,0.01,0.0
40.4,41.61,0.01,0.0,40.48,41.79,0.01,0.0
40.32,41.52,0.01,0.0,40.53,41.8,0.01,0.0
40.08,41.36,0.01,0.0,40.53,41.8,0.01,0.0
40.13,41.43,0.01,0.0,40.48,41.81,0.01,0.0
40.08,41.36,0.01,0.0,40.48,41.8,0.01,0.0
40.17,41.44,0.01,0.0,40.5,41.82,0.01,0.0
40.36,41.61,0.01,0.0,40.47,41.82,0.01,0.0
40.37,41.61,0.01,0.0,40.44,41.82,0.01,0.0
40.36,41.6,0.01,0.0,40.52,41.8,0.01,0.0
40.33,41.58,0.01,0.0,40.47,41.82,0.01,0.0
40.35,41.62,0.01,0.0,40.48,41.8,0.01,0.0
40.29,41.54,0.01,0.0,40.47,41.82,0.01,0.0
40.24,41.5,0.01,0.0,40.5,41.82,0.01,0.0
40.16,41.45,0.01,0.0,40.45,41.8,0.01,0.0
40.31,41.54,0.01,0.0,40.53,41.81,0.01,0.0
40.18,41.49,0.01,0.0,40.54,41.83,0.01,0.0
40.3,41.56,0.01,0.0,40.47,41.82,0.01,0.0
40.23,41.47,0.01,0.0,40.53,41.83,0.01,0.0
40.25,41.53,0.01,0.0,40.48,41.83,0.01,0.0
40.24,41.5,0.01,0.0,40.45,41.83,0.01,0.0
40.25,41.51,0.01,0.0,40.5,41.84,0.01,0.0
40.26,41.51,0.01,0.0,40.5,41.83,0.01,0.0
40.13,41.41,0.01,0.0,40.5,41.84,0.01,0.0
40.06,41.31,0.01,0.0,40.51,41.84,0.01,0.0
40.05,41.3,0.01,0.0,40.58,41.85,0.01,0.0
40.06,41.34,0.01,0.0,40.59,41.86,0.01,0.0
40.14,41.44,0.01,0.0,40.58,41.87,0.01,0.0
40.14,41.42,0.01,0.0,40.53,41.86,0.01,0.0
40.35,41.62,0.01,0.0,40.57,41.85,0.01,0.0
40.3,41.53,0.01,0.0,40.57,41.86,0.01,0.0
40.42,41.67,0.01,0.0,40.62,41.87,0.01,0.0
40.11,41.41,0.01,0.0,40.5,41.87,0.01,0.0
40.24,41.5,0.01,0.0,40.58,41.87,0.01,0.0
40.36,41.64,0.01,0.0,40.59,41.88,0.01,0.0
40.48,41.75,0.01,0.0,40.51,41.88,0.01,0.0
40.34,41.58,0.01,0.0,40.58,41.88,0.01,0.0
40.27,41.53,0.01,0.0,40.5,41.88,0.01,0.0
40.31,41.55,0.01,0.0,40.57,41.89,0.01,0.0
40.46,41.69,0.01,0.0,40.57,41.88,0.01,0.0
40.54,41.75,0.01,0.0,40.53,41.89,0.01,0.0
40.35,41.57,0.01,0.0,40.51,41.87,0.01,0.0
40.15,41.47,0.01,0.0,40.62,41.9,0.01,0.0
40.21,41.5,0.01,0.0,40.49,41.88,0.01,0.0
40.4,41.59,0.01,0.0,40.54,41.87,0.01,0.0
40.41,41.67,0.01,0.0,40.53,41.89,0.01,0.0
40.21,41.47,0.01,0.0,40.53,41.9,0.01,0.0
40.12,41.4,0.01,0.0,40.57,41.89,0.01,0.0
40.22,41.5,0.01,0.0,40.56,41.89,0.01,0.0
40.43,41.66,0.01,0.0,40.59,41.89,0.01,0.0
40.43,41.66,0.01,0.0,40.59,41.89,0.01,0.0
40.4,41.61,0.01,0.0,40.5,41.87,0.01,0.0
40.2,41.43,0.01,0.0,40.64,41.9,0.01,0.0
40.46,41.71,0.01,0.0,40.59,41.9,0.01,0.0
40.58,41.81,0.01,0.0,40.61,41.9,0.01,0.0
40.35,41.6,0.01,0.0,40.62,41.92,0.01,0.0
40.2,41.47,0.01,0.0,40.6,41.91,0.01,0.0
40.25,41.51,0.01,0.0,40.61,41.91,0.01,0.0
40.38,41.59,0.01,0.0,40.55,41.9,0.01,0.0
40.37,41.64,0.01,0.0,40.6,41.93,0.01,0.0
40.24,41.46,0.01,0.0,40.5,41.9,0.01,0.0
40.21,41.45,0.01,0.0,40.64,41.92,0.01,0.0
40.44,41.67,0.01,0.0,40.59,41.92,0.01,0.0
40.39,41.63,0.01,0.0,40.62,41.9,0.01,0.0
40.29,41.55,0.01,0.0,40.62,41.91,0.01,0.0
40.36,41.6,0.01,0.0,40.64,41.91,0.01,0.0
40.47,41.69,0.01,0.0,40.66,41.93,0.01,0.0
40.38,41.62,0.01,0.0,40.65,41.93,0.01,0.0
40.33,41.58,0.01,0.0,40.62,41.93,0.01,0.0
40.42,41.66,0.01,0.0,40.66,41.94,0.01,0.0
40.43,41.66,0.01,0.0,40.63,41.93,0.01,0.0
40.48,41.73,0.01,0.0,40.69,41.93,0.01,0.0
40.59,41.84,0.01,0.0,40.58,41.93,0.01,0.0
40.54,41.82,0.01,0.0,40.63,41.95,0.01,0.0
40.52,41.77,0.01,0.0,40.58,41.93,0.01,0.0
40.48,41.73,0.01,0.0,40.62,41.93,0.01,0.0
40.51,41.75,0.01,0.0,40.62,41.93,0.01,0.0
40.44,41.67,0.01,0.0,40.62,41.92,0.01,0.0
40.4,41.66,0.01,0.0,40.65,41.93,0.01,0.0
40.44,41.65,0.01,0.0,40.68,41.94,0.01,0.0
40.38,41.62,0.01,0.0,40.66,41.96,0.01,0.0
40.31,41.56,0.01,0.0,40.66,41.96,0.01,0.0
40.42,41.67,0.01,0.0,40.63,41.94,0.01,0.0
40.39,41.63,0.01,0.0,40.59,41.95,0.01,0.0
40.4,41.66,0.01,0.0,40.68,41.96,0.01,0.0
40.37,41.64,0.01,0.0,40.68,41.95,0.01,0.0
40.3,41.55,0.01,0.0,40.62,41.93,0.01,0.0
40.34,41.61,0.01,0.0,40.67,41.97,0.01,0.0
40.29,41.54,0.01,0.0,40.63,41.94,0.01,0.0
40.3,41.55,0.01,0.0,40.62,41.95,0.01,0.0
40.39,41.65,0.01,0.0,40.71,41.95,0.01,0.0
40.32,41.57,0.01,0.0,40.64,41.96,0.01,0.0
40.36,41.6,0.01,0.0,40.64,41.96,0.01,0.0
40.4,41.64,0.01,0.0,40.6,41.93,0.01,0.0
40.45,41.7,0.01,0.0,40.68,41.95,0.01,0.0
40.29,41.54,0.01,0.0,40.59,41.93,0.01,0.0
40.33,41.57,0.01,0.0,40.62,41.95,0.01,0.0
40.31,41.56,0.01,0.0,40.62,41.93,0.01,0.0
40.35,41.62,0.01,0.0,40.59,41.96,0.01,0.0
40.39,41.65,0.01,0.0,40.68,41.95,0.01,0.0
40.49,41.69,0.01,0.0,40.61,41.95,0.01,0.0
40.47,41.74,0.01,0.0,40.65,41.95,0.01,0.0
40.34,41.59,0.01,0.0,40.59,41.94,0.01,0.0
40.55,41.76,0.01,0.0,40.62,41.93,0.01,0.0
40.46,41.71,0.01,0.0,40.66,41.96,0.01,0.0
40.28,41.57,0.01,0.0,40.6,41.95,0.01,0.0
40.3,41.55,0.01,0.0,40.57,41.95,0.01,0.0
40.4,41.64,0.01,0.0,40.65,41.96,0.01,0.0
40.45,41.68,0.01,0.0,40.65,41.96,0.01,0.0
40.5,41.73,0.01,0.0,40.61,41.94,0.01,0.0
40.51,41.73,0.01,0.0,40.68,41.95,0.01,0.0
40.51,41.73,0.01,0.0,40.68,41.95,0.01,0.0
40.41,41.65,0.01,0.0,40.59,41.95,0.01,0.0
40.57,41.79,0.01,0.0,40.63,41.95,0.01,0.0
40.46,41.71,0.01,0.0,40.62,41.96,0.01,0.0
40.31,41.56,0.01,0.0,40.64,41.96,0.01,0.0
40.42,41.7,0.01,0.0,40.68,41.96,0.01,0.0
40.28,41.55,0.01,0.0,40.62,41.96,0.01,0.0
40.38,41.62,0.01,0.0,40.63,41.96,0.01,0.0
40.44,41.69,0.01,0.0,40.66,41.97,0.01,0.0
40.48,41.75,0.01,0.0,40.71,41.97,0.01,0.0
40.35,41.59,0.01,0.0,40.56,41.94,0.01,0.0
40.44,41.63,0.01,0.0,40.62,41.94,0.01,0.0
40.62,41.82,0.01,0.0,40.65,41.95,0.01,0.0
40.45,41.7,0.01,0.0,40.73,41.96,0.01,0.0
40.55,41.74,0.01,0.0,40.55,41.94,0.01,0.0
40.48,41.68,0.01,0.0,40.7,41.96,0.01,0.0
40.48,41.75,0.01,0.0,40.65,42.02,0.01,0.0
40.42,41.63,0.01,0.0,40.65,41.99,0.01,0.0
40.42,41.66,0.01,0.0,40.71,41.99,0.01,0.0
40.49,41.74,0.01,0.0,40.71,41.99,0.01,0.0
40.4,41.64,0.01,0.0,40.67,41.99,0.01,0.0
40.47,41.68,0.01,0.0,40.7,42.0,0.01,0.0
40.4,41.6,0.01,0.0,40.77,41.99,0.01,0.0
40.35,41.6,0.01,0.0,40.73,42.02,0.01,0.0
40.43,41.66,0.01,0.0,40.74,41.99,0.01,0.0
40.41,41.69,0.01,0.0,40.72,42.02,0.01,0.0
40.4,41.63,0.01,0.0,40.65,42.02,0.01,0.0
40.51,41.71,0.01,0.0,40.69,42.01,0.01,0.0
40.45,41.68,0.01,0.0,40.65,42.0,0.01,0.0
40.5,41.7,0.01,0.0,40.72,42.02,0.01,0.0
40.62,41.81,0.01,0.0,40.77,42.02,0.01,0.0
40.5,41.73,0.01,0.0,40.81,42.05,0.01,0.0
40.48,41.71,0.01,0.0,40.84,42.05,0.01,0.0
40.57,41.83,0.01,0.0,40.79,42.08,0.01,0.0
40.25,41.53,0.01,0.0,40.71,42.07,0.01,0.0
40.49,41.71,0.01,0.0,40.74,42.08,0.01,0.0
40.51,41.73,0.01,0.0,40.79,42.08,0.01,0.0
40.42,41.68,0.01,0.0,40.83,42.09,0.01,0.0
40.52,41.76,0.01,0.0,40.79,42.08,0.01,0.0
40.43,41.66,0.01,0.0,40.74,42.09,0.01,0.0
40.36,41.58,0.01,0.0,40.74,42.09,0.01,0.0
40.48,41.73,0.01,0.0,40.77,42.08,0.01,0.0
40.56,41.77,0.01,0.0,40.8,42.08,0.01,0.0
40.59,41.83,0.01,0.0,40.72,42.08,0.01,0.0
40.54,41.76,0.01,0.0,40.82,42.07,0.01,0.0
40.59,41.83,0.01,0.0,40.77,42.09,0.01,0.0
40.56,41.8,0.01,0.0,40.74,42.09,0.01,0.0
40.74,41.91,0.01,0.0,40.84,42.09,0.01,0.0
40.55,41.81,0.01,0.0,40.81,42.1,0.01,0.0
40.56,41.75,0.01,0.0,40.78,42.1,0.01,0.0
40.7,41.92,0.01,0.0,40.78,42.11,0.01,0.0
40.63,41.86,0.01,0.0,40.78,42.11,0.01,0.0
40.6,41.83,0.01,0.0,40.78,42.11,0.01,0.0
40.52,41.74,0.01,0.0,40.81,42.11,0.01,0.0
40.56,41.8,0.01,0.0,40.77,42.1,0.01,0.0
40.5,41.74,0.01,0.0,40.77,42.12,0.01,0.0
40.41,41.62,0.01,0.0,40.8,42.11,0.01,0.0
40.48,41.73,0.01,0.0,40.74,42.11,0.01,0.0
40.46,41.69,0.01,0.0,40.74,42.1,0.01,0.0
40.46,41.71,0.01,0.0,40.75,42.12,0.01,0.0
40.57,41.84,0.01,0.0,40.77,42.11,0.01,0.0
40.47,41.72,0.01,0.0,40.73,42.11,0.01,0.0
40.51,41.74,0.01,0.0,40.72,42.1,0.01,0.0
40.55,41.74,0.01,0.0,40.85,42.11,0.01,0.0
40.53,41.82,0.01,0.0,40.72,42.1,0.01,0.0
40.46,41.66,0.01,0.0,40.71,42.09,0.01,0.0
40.56,41.78,0.01,0.0,40.8,42.09,0.01,0.0
40.6,41.79,0.01,0.0,40.79,42.1,0.01,0.0
40.55,41.79,0.01,0.0,40.74,42.07,0.01,0.0
40.44,41.67,0.01,0.0,40.72,42.1,0.01,0.0
40.48,41.7,0.01,0.0,40.71,42.09,0.01,0.0
40.43,41.66,0.01,0.0,40.77,42.08,0.01,0.0
40.57,41.78,0.01,0.0,40.77,42.08,0.01,0.0
40.58,41.77,0.01,0.0,40.84,42.08,0.01,0.0
40.64,41.91,0.01,0.0,40.83,42.06,0.01,0.0
40.58,41.84,0.01,0.0,40.74,42.07,0.01,0.0
40.46,41.69,0.01,0.0,40.8,42.09,0.01,0.0
40.62,41.84,0.01,0.0,40.83,42.08,0.01,0.0
40.49,41.74,0.01,0.0,40.8,42.09,0.01,0.0
40.5,41.72,0.01,0.0,40.76,42.08,0.01,0.0
40.55,41.79,0.01,0.0,40.74,42.08,0.01,0.0
40.53,41.77,0.01,0.0,40.74,42.07,0.01,0.0
40.62,41.85,0.01,0.0,40.74,42.08,0.01,0.0
40.5,41.7,0.01,0.0,40.77,42.08,0.01,0.0
40.54,41.78,0.01,0.0,40.73,42.07,0.01,0.0
40.49,41.71,0.01,0.0,40.74,42.08,0.01,0.0
40.56,41.78,0.01,0.0,40.75,42.09,0.01,0.0
40.46,41.68,0.01,0.0,40.77,42.08,0.01,0.0
40.57,41.81,0.01,0.0,40.78,42.09,0.01,0.0
40.55,41.75,0.01,0.0,40.75,42.09,0.01,0.0
40.59,41.82,0.01,0.0,40.74,42.08,0.01,0.0
40.72,41.89,0.01,0.0,40.77,42.08,0.01,0.0
40.75,41.98,0.01,0.0,40.84,42.09,0.01,0.0
40.59,41.8,0.01,0.0,40.74,42.09,0.01,0.0
40.56,41.79,0.01,0.0,40.81,42.1,0.01,0.0
40.5,41.8,0.01,0.0,40.81,42.11,0.01,0.0
40.37,41.61,0.01,0.0,40.74,42.09,0.01,0.0
