pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.013,0.445,0.448,0.011,0.02,45.03,45,0.02,0.42,0.42,2027.78
0.013,0.443,0.448,0.011,0.02,45.03,44.98,0.02,0.42,0.42,2030.67
0.013,0.443,0.445,0.011,0.02,45.02,45.04,0.02,0.419,0.42,2034.14
0.013,0.444,0.448,0.011,0.02,45,44.91,0.02,0.42,0.42,2029.51
0.013,0.444,0.448,0.011,0.02,45.02,44.99,0.02,0.42,0.42,2028.94
0.013,0.443,0.445,0.011,0.02,44.99,44.88,0.02,0.419,0.42,2029.51
0.013,0.443,0.446,0.011,0.02,44.99,44.89,0.02,0.421,0.42,2040.51
0.013,0.444,0.447,0.011,0.02,44.99,44.89,0.02,0.421,0.42,2038.19
0.013,0.445,0.447,0.011,0.02,45.02,44.98,0.02,0.421,0.42,2038.19
0.013,0.444,0.446,0.011,0.02,45.02,44.92,0.02,0.42,0.42,2039.93
0.013,0.444,0.446,0.011,0.02,45.02,45.03,0.02,0.421,0.42,2043.98
0.013,0.443,0.447,0.011,0.02,45,45.01,0.02,0.419,0.42,2048.03
0.013,0.443,0.446,0.011,0.02,44.99,44.91,0.02,0.42,0.42,2041.67
0.013,0.443,0.447,0.011,0.02,45,44.91,0.02,0.42,0.42,2035.88
0.013,0.444,0.448,0.011,0.02,45,44.9,0.02,0.42,0.42,2035.88
0.013,0.442,0.445,0.011,0.02,45.02,44.95,0.02,0.419,0.42,2032.99
0.013,0.444,0.447,0.011,0.02,45.02,44.91,0.02,0.42,0.42,2031.83
0.013,0.445,0.447,0.011,0.02,45.06,44.93,0.02,0.421,0.42,2031.83
0.013,0.443,0.447,0.012,0.02,45.03,45.03,0.02,0.419,0.42,2031.25
0.013,0.444,0.447,0.011,0.02,45.03,44.93,0.02,0.42,0.42,2035.3
0.013,0.443,0.447,0.011,0.02,45.02,45,0.02,0.42,0.42,2053.24
0.013,0.443,0.447,0.011,0.02,45.02,44.93,0.02,0.419,0.42,2059.03
0.013,0.444,0.447,0.012,0.02,45.01,44.95,0.02,0.42,0.42,2057.87
0.013,0.443,0.447,0.011,0.02,45.03,44.96,0.02,0.42,0.42,2055.56
0.013,0.443,0.447,0.011,0.02,45.02,44.92,0.02,0.421,0.42,2054.4
0.013,0.443,0.448,0.011,0.02,45.02,44.96,0.02,0.42,0.42,2049.19
0.013,0.444,0.447,0.011,0.02,45.02,44.93,0.02,0.42,0.42,2043.98
0.013,0.444,0.446,0.011,0.02,45.02,44.96,0.02,0.42,0.42,2036.46
0.013,0.443,0.448,0.011,0.02,45.03,45.05,0.02,0.42,0.42,2030.67
0.013,0.443,0.447,0.011,0.02,45.02,45.03,0.02,0.419,0.42,2027.78
0.013,0.445,0.448,0.011,0.02,45.02,44.94,0.02,0.42,0.42,2024.31
0.013,0.444,0.448,0.011,0.02,45.02,44.92,0.02,0.42,0.42,2023.15
0.013,0.443,0.447,0.011,0.02,45.02,44.93,0.02,0.42,0.42,2017.94
0.013,0.443,0.448,0.011,0.02,45.02,44.91,0.02,0.42,0.42,2013.31
0.013,0.444,0.448,0.011,0.02,45.03,44.97,0.02,0.42,0.42,2014.47
0.013,0.444,0.448,0.011,0.02,45.02,44.97,0.02,0.42,0.42,2014.47
0.013,0.445,0.448,0.011,0.02,45.03,44.88,0.02,0.42,0.42,2019.68
0.013,0.444,0.448,0.011,0.02,45.02,44.93,0.02,0.42,0.42,2038.77
0.013,0.445,0.448,0.011,0.02,45.01,44.93,0.02,0.42,0.42,2048.03
0.013,0.444,0.446,0.012,0.02,44.99,44.99,0.02,0.419,0.42,2057.29
0.013,0.444,0.446,0.011,0.02,44.99,44.87,0.02,0.421,0.42,2063.66
0.013,0.445,0.448,0.011,0.02,45,44.93,0.02,0.421,0.42,2064.81
0.013,0.444,0.447,0.011,0.02,44.99,45.05,0.02,0.419,0.42,2061.92
0.013,0.444,0.447,0.011,0.02,44.99,44.95,0.02,0.42,0.42,2057.87
0.013,0.444,0.448,0.011,0.02,44.99,44.9,0.02,0.42,0.42,2047.45
0.013,0.442,0.447,0.011,0.02,44.99,44.89,0.02,0.419,0.42,2037.04
0.013,0.443,0.447,0.011,0.02,44.98,44.93,0.02,0.42,0.42,2031.25
0.013,0.445,0.448,0.011,0.02,45,44.89,0.02,0.421,0.42,2019.68
0.013,0.444,0.447,0.011,0.02,45,44.93,0.02,0.419,0.42,2014.47
0.013,0.444,0.447,0.011,0.02,45,44.91,0.02,0.419,0.42,2013.89
0.013,0.444,0.448,0.011,0.02,44.99,44.89,0.02,0.42,0.42,2013.89
0.013,0.445,0.447,0.011,0.02,45.01,44.91,0.02,0.421,0.42,2015.05
0.013,0.444,0.447,0.011,0.02,44.99,44.97,0.02,0.42,0.42,2015.05
0.013,0.444,0.447,0.011,0.02,45,44.99,0.02,0.42,0.42,2019.68
0.013,0.444,0.446,0.011,0.02,44.99,45.01,0.02,0.42,0.42,2019.68
0.013,0.444,0.447,0.011,0.02,45.01,44.91,0.02,0.42,0.42,2025.46
0.013,0.443,0.445,0.011,0.02,45.01,44.95,0.02,0.42,0.42,2025.46
0.013,0.444,0.446,0.011,0.02,45.02,44.88,0.02,0.421,0.42,2030.67
0.013,0.444,0.446,0.011,0.02,45,45.03,0.02,0.42,0.42,2035.88
0.013,0.444,0.446,0.011,0.02,45,44.85,0.02,0.419,0.42,2036.46
0.013,0.445,0.448,0.011,0.02,45.02,44.88,0.02,0.421,0.42,2037.04
0.013,0.444,0.446,0.011,0.02,45.01,45.01,0.02,0.42,0.42,2040.51
0.013,0.444,0.447,0.011,0.02,45.01,44.98,0.02,0.42,0.42,2043.98
0.013,0.444,0.446,0.011,0.02,44.99,44.97,0.02,0.42,0.42,2046.88
0.013,0.445,0.447,0.011,0.02,44.99,45.03,0.02,0.42,0.42,2043.98
0.013,0.442,0.446,0.011,0.02,44.98,44.99,0.02,0.419,0.42,2048.61
0.013,0.444,0.447,0.011,0.02,44.99,44.81,0.02,0.421,0.42,2043.4
0.013,0.444,0.448,0.011,0.02,45.01,44.93,0.02,0.421,0.42,2042.82
0.013,0.444,0.447,0.011,0.02,45,44.99,0.02,0.42,0.42,2042.82
0.013,0.444,0.448,0.011,0.02,45,44.94,0.02,0.42,0.42,2041.09
0.013,0.444,0.447,0.011,0.02,45.01,44.94,0.02,0.419,0.42,2032.99
0.013,0.443,0.448,0.011,0.02,45,44.97,0.02,0.419,0.42,2033.56
0.013,0.444,0.447,0.011,0.02,45.01,45,0.02,0.42,0.42,2025.46
0.013,0.443,0.448,0.011,0.02,44.99,44.9,0.02,0.42,0.42,2018.52
0.013,0.444,0.447,0.011,0.02,45.01,44.9,0.02,0.42,0.42,2017.94
0.013,0.445,0.447,0.011,0.02,45,44.93,0.02,0.42,0.42,2019.68
0.013,0.444,0.447,0.011,0.02,45,44.93,0.02,0.42,0.42,2026.04
0.013,0.444,0.447,0.011,0.02,45.02,44.89,0.02,0.42,0.42,2031.25
0.013,0.444,0.448,0.011,0.02,45.02,44.9,0.02,0.421,0.42,2037.04
0.013,0.444,0.448,0.011,0.02,45.03,44.93,0.02,0.42,0.42,2052.08
0.013,0.444,0.448,0.011,0.02,45.02,44.96,0.02,0.42,0.42,2059.03
0.013,0.444,0.448,0.011,0.02,45.03,44.92,0.02,0.42,0.42,2061.34
0.013,0.444,0.448,0.011,0.02,45.01,44.92,0.02,0.421,0.42,2059.03
0.013,0.443,0.448,0.011,0.02,45.03,44.99,0.02,0.419,0.42,2056.71
0.013,0.444,0.447,0.011,0.02,45.03,44.93,0.02,0.42,0.42,2060.76
0.013,0.446,0.448,0.011,0.02,45.03,44.93,0.02,0.42,0.42,2066.55
0.013,0.445,0.448,0.011,0.02,45.03,44.99,0.02,0.42,0.42,2068.29
0.013,0.443,0.447,0.011,0.02,45.02,44.95,0.02,0.42,0.42,2074.07
0.013,0.443,0.447,0.011,0.02,45.03,44.98,0.02,0.42,0.42,2079.28
