time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_power,pump_2_power,pump_3_power,sum_pressure
2024/12/11 13:01,0.011,0.373,0.378,0.009,0.03,41.75,42.06,0.35
2024/12/11 13:01,0.011,0.375,0.378,0.009,0.03,41.78,42.02,0.351
2024/12/11 13:01,0.011,0.375,0.378,0.009,0.03,41.78,42.02,0.35
2024/12/11 13:01,0.011,0.375,0.378,0.009,0.03,41.78,42.04,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.78,41.96,0.351
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.78,41.99,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.78,42.03,0.351
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.78,41.94,0.351
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.76,41.95,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.75,41.94,0.351
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.75,41.92,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.75,41.98,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.75,41.92,0.35
2024/12/11 13:01,0.011,0.375,0.378,0.01,0.03,41.75,41.88,0.351
2024/12/11 13:01,0.011,0.374,0.376,0.009,0.03,41.73,41.9,0.35
2024/12/11 13:01,0.011,0.372,0.377,0.009,0.03,41.73,41.94,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.74,41.93,0.35
2024/12/11 13:01,0.011,0.375,0.378,0.009,0.03,41.73,41.9,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.73,41.91,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.74,41.98,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.73,41.94,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.74,41.98,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.73,41.98,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.74,41.95,0.351
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.74,41.92,0.349
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.73,41.98,0.349
2024/12/11 13:01,0.011,0.374,0.379,0.009,0.03,41.73,41.9,0.35
2024/12/11 13:01,0.011,0.374,0.376,0.009,0.03,41.73,41.96,0.349
2024/12/11 13:01,0.011,0.373,0.377,0.009,0.03,41.74,42.04,0.349
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.75,42.04,0.35
2024/12/11 13:01,0.011,0.375,0.377,0.009,0.03,41.75,41.96,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.75,42,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.76,42.01,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.78,42.03,0.349
2024/12/11 13:01,0.011,0.372,0.377,0.009,0.03,41.78,42.05,0.35
2024/12/11 13:01,0.011,0.373,0.378,0.01,0.03,41.78,42.02,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.8,42.07,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.79,42.03,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.01,0.03,41.81,42.09,0.349
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.83,42.03,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.82,42.05,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.01,0.03,41.83,42.09,0.35
2024/12/11 13:01,0.011,0.374,0.376,0.01,0.03,41.84,42.14,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.85,42.07,0.35
2024/12/11 13:01,0.011,0.373,0.378,0.01,0.03,41.85,42.06,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.01,0.03,41.86,42.09,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.01,0.03,41.85,42.08,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.009,0.03,41.85,42.11,0.349
2024/12/11 13:01,0.011,0.375,0.378,0.01,0.03,41.87,42.12,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.009,0.03,41.87,42.1,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.87,42.08,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.01,0.03,41.87,42.07,0.35
2024/12/11 13:01,0.011,0.374,0.378,0.01,0.03,41.88,42.16,0.349
2024/12/11 13:01,0.011,0.375,0.378,0.01,0.03,41.9,42.14,0.35
2024/12/11 13:01,0.011,0.374,0.377,0.01,0.03,41.88,42.08,0.35
2024/12/11 13:01,0.011,0.373,0.377,0.01,0.03,41.9,42.2,0.349
2024/12/11 13:01,0.011,0.375,0.378,0.01,0.03,41.92,42.1,0.351
