time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,flow
2025/3/19 7:48,0.471,0.012,0.473,0.464,43.73,0,44.11,0,0.449,2157.99
2025/3/19 7:48,0.473,0.012,0.475,0.467,43.88,0,44.16,0,0.449,2156.25
2025/3/19 7:48,0.474,0.012,0.475,0.467,43.67,0,43.97,0,0.452,2152.2
2025/3/19 7:48,0.47,0.013,0.472,0.464,43.73,0,44.05,0,0.449,2151.62
2025/3/19 7:48,0.473,0.013,0.475,0.468,43.74,0,44.04,0,0.452,2147.57
2025/3/19 7:48,0.471,0.013,0.473,0.466,43.65,0,43.91,0,0.451,2140.05
2025/3/19 7:48,0.469,0.013,0.471,0.466,43.74,0,44.06,0,0.448,2136
2025/3/19 7:48,0.472,0.013,0.474,0.468,43.8,0,44.11,0,0.451,2135.42
2025/3/19 7:48,0.47,0.013,0.474,0.465,43.68,0,43.97,0,0.45,2136
2025/3/19 7:48,0.469,0.013,0.472,0.464,43.66,0,44.07,0,0.449,2136.57
2025/3/19 7:48,0.471,0.013,0.472,0.468,43.75,0,44.04,0,0.449,2136.57
2025/3/19 7:48,0.472,0.013,0.473,0.468,43.78,0,44.05,0,0.45,2141.78
2025/3/19 7:48,0.472,0.013,0.474,0.467,43.67,0,44.07,0,0.451,2142.36
2025/3/19 7:48,0.471,0.013,0.472,0.467,43.66,0,44,0,0.451,2141.78
2025/3/19 7:48,0.471,0.013,0.473,0.466,43.79,0,44.1,0,0.449,2141.78
2025/3/19 7:48,0.473,0.013,0.475,0.469,43.76,0,44.07,0,0.451,2141.78
2025/3/19 7:48,0.471,0.013,0.473,0.467,43.63,0,43.99,0,0.45,2145.83
2025/3/19 7:48,0.47,0.013,0.473,0.466,43.73,0,44.08,0,0.449,2136
2025/3/19 7:48,0.473,0.013,0.475,0.466,43.82,0,44.08,0,0.452,2133.68
2025/3/19 7:48,0.472,0.013,0.474,0.466,43.62,0,44.03,0,0.451,2131.94
2025/3/19 7:48,0.47,0.013,0.473,0.466,43.72,0,43.95,0,0.449,2134.26
2025/3/19 7:48,0.471,0.013,0.474,0.466,43.77,0,44.06,0,0.45,2129.63
2025/3/19 7:48,0.472,0.013,0.475,0.466,43.72,0,43.95,0,0.451,2129.63
2025/3/19 7:48,0.469,0.013,0.473,0.465,43.69,0,43.96,0,0.451,2134.84
2025/3/19 7:48,0.469,0.013,0.471,0.464,43.86,0,44.15,0,0.448,2140.63
2025/3/19 7:48,0.473,0.013,0.475,0.471,43.76,0,44.11,0,0.452,2144.68
2025/3/19 7:48,0.474,0.013,0.473,0.467,43.63,0,43.97,0,0.452,2145.25
2025/3/19 7:48,0.47,0.013,0.473,0.463,43.78,0,44.08,0,0.449,2148.15
2025/3/19 7:48,0.472,0.013,0.474,0.468,43.62,0,43.99,0,0.451,2146.41
2025/3/19 7:48,0.471,0.013,0.473,0.466,43.65,0,43.9,0,0.451,2136
2025/3/19 7:48,0.47,0.013,0.472,0.466,43.68,0,44,0,0.45,2131.94
2025/3/19 7:48,0.472,0.013,0.474,0.468,43.72,0,43.98,0,0.452,2123.84
2025/3/19 7:48,0.473,0.013,0.474,0.467,43.61,0,43.86,0,0.451,2112.27
2025/3/19 7:48,0.47,0.013,0.472,0.469,43.62,0,43.89,0,0.45,2102.43
2025/3/19 7:48,0.47,0.013,0.474,0.466,43.66,0,43.93,0,0.45,2094.91
2025/3/19 7:48,0.471,0.013,0.474,0.466,43.6,0,43.91,0,0.45,2082.18
2025/3/19 7:48,0.471,0.013,0.472,0.466,43.68,0,43.92,0,0.45,2081.6
2025/3/19 7:48,0.47,0.012,0.473,0.467,43.56,0,43.9,0,0.45,2072.92
2025/3/19 7:48,0.47,0.013,0.473,0.467,43.62,0,43.94,0,0.45,2067.71
2025/3/19 7:48,0.473,0.013,0.474,0.466,43.56,0,43.87,0,0.452,2070.02
2025/3/19 7:48,0.47,0.013,0.471,0.467,43.48,0,43.87,0,0.451,2070.02
2025/3/19 7:48,0.469,0.013,0.471,0.466,43.68,0,43.99,0,0.449,2064.24
2025/3/19 7:48,0.472,0.013,0.474,0.469,43.61,0,43.99,0,0.451,2061.34
2025/3/19 7:48,0.472,0.013,0.474,0.465,43.56,0,43.79,0,0.451,2061.34
2025/3/19 7:48,0.47,0.013,0.472,0.466,43.54,0,43.87,0,0.45,2060.76
2025/3/19 7:48,0.469,0.013,0.471,0.465,43.59,0,43.87,0,0.448,2067.13
2025/3/19 7:48,0.472,0.013,0.472,0.467,43.61,0,43.92,0,0.45,2080.44
2025/3/19 7:48,0.471,0.013,0.473,0.467,43.5,0,43.87,0,0.45,2086.81
2025/3/19 7:48,0.47,0.013,0.471,0.466,43.62,0,43.95,0,0.449,2090.28
2025/3/19 7:48,0.472,0.013,0.473,0.466,43.6,0,43.92,0,0.45,2090.28
2025/3/19 7:48,0.471,0.013,0.474,0.467,43.63,0,43.98,0,0.449,2089.12
2025/3/19 7:49,0.472,0.013,0.474,0.465,43.54,0,43.89,0,0.451,2082.18
2025/3/19 7:49,0.47,0.013,0.471,0.465,43.64,0,43.99,0,0.449,2067.13
2025/3/19 7:49,0.471,0.013,0.474,0.467,43.63,0,43.93,0,0.449,2062.5
2025/3/19 7:49,0.472,0.013,0.474,0.467,43.56,0,43.88,0,0.451,2057.29
2025/3/19 7:49,0.47,0.013,0.473,0.465,43.54,0,43.89,0,0.45,2049.19
2025/3/19 7:49,0.47,0.013,0.472,0.465,43.59,0,43.87,0,0.449,2045.14
2025/3/19 7:49,0.473,0.013,0.474,0.468,43.74,0,44.02,0,0.451,2045.14
2025/3/19 7:49,0.473,0.013,0.475,0.467,43.53,0,43.95,0,0.451,2045.72
2025/3/19 7:49,0.469,0.013,0.47,0.465,43.63,0,43.95,0,0.449,2050.35
2025/3/19 7:49,0.472,0.013,0.473,0.464,43.68,0,43.95,0,0.449,2063.08
2025/3/19 7:49,0.471,0.013,0.474,0.467,43.72,0,44.01,0,0.451,2083.33
2025/3/19 7:49,0.471,0.013,0.474,0.468,43.54,0,43.82,0,0.452,2084.49
2025/3/19 7:49,0.469,0.013,0.471,0.466,43.65,0,43.95,0,0.449,2085.65
2025/3/19 7:49,0.472,0.013,0.472,0.466,43.58,0,43.97,0,0.451,2085.07
2025/3/19 7:49,0.47,0.013,0.473,0.465,43.6,0,43.85,0,0.45,2073.5
2025/3/19 7:49,0.469,0.013,0.472,0.465,43.62,0,44.01,0,0.449,2068.87
2025/3/19 7:49,0.472,0.013,0.474,0.465,43.59,0,43.92,0,0.451,2062.5
2025/3/19 7:49,0.469,0.013,0.472,0.465,43.65,0,43.92,0,0.449,2055.56
2025/3/19 7:49,0.471,0.013,0.474,0.467,43.68,0,44.01,0,0.449,2052.66
2025/3/19 7:49,0.471,0.013,0.472,0.465,43.57,0,43.85,0,0.449,2052.66
2025/3/19 7:49,0.47,0.013,0.472,0.465,43.63,0,44.03,0,0.449,2049.19
2025/3/19 7:49,0.472,0.013,0.475,0.468,43.66,0,44,0,0.45,2050.93
2025/3/19 7:49,0.472,0.013,0.473,0.469,43.52,0,43.93,0,0.45,2055.56
2025/3/19 7:49,0.47,0.013,0.471,0.467,43.58,0,43.93,0,0.449,2060.76
2025/3/19 7:49,0.471,0.013,0.474,0.466,43.72,0,44.08,0,0.449,2065.39
2025/3/19 7:49,0.472,0.013,0.473,0.466,43.65,0,43.97,0,0.45,2075.81
2025/3/19 7:49,0.469,0.013,0.472,0.466,43.71,0,44.02,0,0.45,2098.38
2025/3/19 7:49,0.472,0.013,0.473,0.466,43.67,0,43.99,0,0.45,2115.74
2025/3/19 7:49,0.47,0.013,0.474,0.466,43.59,0,43.94,0,0.451,2116.32
2025/3/19 7:49,0.471,0.013,0.473,0.466,43.78,0,44.1,0,0.449,2118.06
2025/3/19 7:49,0.471,0.013,0.474,0.468,43.62,0,43.93,0,0.452,2117.48
2025/3/19 7:49,0.468,0.013,0.47,0.464,43.65,0,43.89,0,0.449,2122.69
2025/3/19 7:49,0.472,0.013,0.474,0.467,43.91,0,44.24,0,0.451,2122.69
2025/3/19 7:49,0.474,0.013,0.477,0.467,43.61,0,43.92,0,0.452,2130.79
2025/3/19 7:49,0.469,0.013,0.47,0.465,43.73,0,44.01,0,0.448,2130.21
2025/3/19 7:49,0.473,0.013,0.475,0.465,43.97,0,44.27,0,0.45,2132.52
2025/3/19 7:49,0.477,0.013,0.479,0.467,43.75,0,44.06,0,0.45,2136.57
2025/3/19 7:49,0.471,0.013,0.471,0.463,43.78,0,44.21,0,0.448,2134.84
2025/3/19 7:49,0.471,0.013,0.473,0.466,43.9,0,44.28,0,0.449,2134.26
2025/3/19 7:49,0.472,0.013,0.474,0.467,43.8,0,44.12,0,0.451,2136.57
2025/3/19 7:49,0.47,0.013,0.472,0.463,43.76,0,44.15,0,0.448,2145.25
2025/3/19 7:49,0.472,0.013,0.472,0.465,43.96,0,44.3,0,0.449,2152.78
2025/3/19 7:49,0.473,0.013,0.476,0.467,43.83,0,44.11,0,0.45,2161.46
2025/3/19 7:49,0.47,0.013,0.472,0.464,43.91,0,44.22,0,0.449,2176.5
2025/3/19 7:49,0.471,0.013,0.474,0.467,43.96,0,44.23,0,0.45,2184.61
2025/3/19 7:49,0.469,0.013,0.473,0.465,43.8,0,44.08,0,0.451,2193.87
2025/3/19 7:49,0.472,0.013,0.471,0.464,44.07,0,44.39,0,0.448,2203.7
2025/3/19 7:49,0.473,0.013,0.475,0.467,43.91,0,44.3,0,0.451,2203.13
2025/3/19 7:49,0.469,0.013,0.472,0.465,43.82,0,44.11,0,0.448,2208.91
2025/3/19 7:49,0.469,0.013,0.471,0.467,44.08,0,44.36,0,0.45,2206.02
2025/3/19 7:49,0.471,0.013,0.476,0.469,43.78,0,44.07,0,0.452,2213.54
2025/3/19 7:49,0.469,0.013,0.471,0.465,43.91,0,44.12,0,0.449,2218.75
2025/3/19 7:49,0.472,0.013,0.475,0.468,44.08,0,44.41,0,0.451,2225.12
2025/3/19 7:49,0.471,0.013,0.478,0.466,43.88,0,44.18,0,0.451,2234.95
2025/3/19 7:49,0.471,0.013,0.472,0.464,44.02,0,44.33,0,0.449,2239
2025/3/19 7:49,0.472,0.013,0.474,0.466,43.99,0,44.23,0,0.45,2238.43
2025/3/19 7:49,0.472,0.013,0.474,0.468,43.95,0,44.21,0,0.45,2239
2025/3/19 7:49,0.472,0.013,0.473,0.465,44.01,0,44.32,0,0.449,2235.53
2025/3/19 7:49,0.473,0.013,0.475,0.468,43.98,0,44.35,0,0.451,2226.27
2025/3/19 7:49,0.474,0.013,0.476,0.469,43.85,0,44.21,0,0.452,2216.44
2025/3/19 7:50,0.47,0.013,0.472,0.466,43.96,0,44.26,0,0.449,2204.86
2025/3/19 7:50,0.472,0.013,0.476,0.468,43.93,0,44.29,0,0.452,2197.34
2025/3/19 7:50,0.472,0.013,0.475,0.465,43.78,0,44.11,0,0.449,2194.44
2025/3/19 7:50,0.473,0.013,0.476,0.468,44.02,0,44.3,0,0.449,2191.55
2025/3/19 7:50,0.473,0.013,0.477,0.468,43.89,0,44.23,0,0.452,2195.02
2025/3/19 7:50,0.469,0.013,0.47,0.464,43.75,0,44.06,0,0.448,2210.65
2025/3/19 7:50,0.469,0.013,0.471,0.465,44.06,0,44.3,0,0.449,2214.7
2025/3/19 7:50,0.473,0.013,0.474,0.466,43.7,0,43.99,0,0.449,2213.54
2025/3/19 7:50,0.469,0.013,0.47,0.465,43.95,0,44.29,0,0.448,2212.96
2025/3/19 7:50,0.474,0.013,0.475,0.468,43.93,0,44.24,0,0.452,2201.97
2025/3/19 7:50,0.471,0.013,0.472,0.469,43.78,0,44.08,0,0.452,2196.76
2025/3/19 7:50,0.47,0.013,0.472,0.466,43.97,0,44.21,0,0.45,2190.39
2025/3/19 7:50,0.471,0.013,0.475,0.468,43.88,0,44.21,0,0.45,2184.03
2025/3/19 7:50,0.471,0.013,0.472,0.465,43.83,0,44.18,0,0.45,2179.4
2025/3/19 7:50,0.472,0.013,0.473,0.466,43.89,0,44.2,0,0.451,2169.56
2025/3/19 7:50,0.474,0.013,0.475,0.467,43.8,0,44.12,0,0.449,2171.88
2025/3/19 7:50,0.469,0.013,0.473,0.464,43.95,0,44.27,0,0.448,2171.88
