pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_power,pump_2_power,pump_3_power,pump_4_power,sum_pressure,target_pressure,flow
0.448,0.015,0.451,0.013,43.89,44.17,0,0.01,0.42,0.42,2164
0.442,0.015,0.447,0.013,43.88,44.16,0,0.01,0.42,0.42,2164
0.446,0.015,0.449,0.013,43.76,44.02,0,0.01,0.422,0.42,2164
0.442,0.015,0.445,0.013,43.7,43.98,0,0.01,0.419,0.42,2164
0.44,0.015,0.444,0.013,43.92,44.21,0,0.01,0.416,0.42,2164
0.449,0.015,0.452,0.013,43.8,44.11,0,0.01,0.422,0.42,2164
0.442,0.015,0.447,0.013,43.64,43.95,0,0.01,0.42,0.42,2164
0.441,0.015,0.442,0.013,43.86,44.21,0,0.01,0.419,0.42,2164
0.446,0.015,0.449,0.013,43.94,44.22,0,0.01,0.422,0.42,2164
0.441,0.015,0.447,0.013,43.71,44.05,0,0.01,0.422,0.42,2164
0.44,0.015,0.445,0.013,43.92,44.3,0,0.01,0.417,0.42,2164
0.447,0.015,0.451,0.013,43.76,44.1,0,0.01,0.423,0.42,2164
0.439,0.015,0.444,0.013,43.56,43.83,0,0.01,0.417,0.42,2164
0.438,0.015,0.441,0.013,44.08,44.36,0,0.01,0.418,0.42,2164
0.446,0.015,0.449,0.013,43.83,44.13,0,0.01,0.423,0.42,2164
0.44,0.015,0.445,0.013,43.7,44.05,0,0.01,0.42,0.42,2164
0.44,0.015,0.445,0.013,44.04,44.27,0,0.01,0.418,0.42,2164
0.446,0.015,0.447,0.013,43.97,44.28,0,0.01,0.423,0.42,2164
0.445,0.015,0.445,0.013,43.71,44,0,0.01,0.422,0.42,2164
0.441,0.015,0.446,0.013,43.89,44.17,0,0.01,0.419,0.42,2164
0.445,0.015,0.447,0.013,43.95,44.27,0,0.01,0.422,0.42,2164
0.441,0.015,0.448,0.013,43.68,43.97,0,0.01,0.422,0.42,2164
0.441,0.015,0.445,0.013,43.86,44.16,0,0.01,0.418,0.42,2164
