time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_power,pump_2_power,pump_3_power,pump_4_power,sum_pressure,target_pressure
2024/12/3 19:11,0.454,0.452,0.013,0.011,44.33,44.35,0.01,0.01,0.431,0.43
2024/12/3 19:11,0.452,0.452,0.013,0.011,44.37,44.34,0.02,0.01,0.429,0.43
2024/12/3 19:11,0.453,0.452,0.013,0.011,44.38,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:11,0.451,0.452,0.013,0.011,44.36,44.34,0.01,0.01,0.429,0.43
2024/12/3 19:11,0.451,0.452,0.013,0.011,44.34,44.33,0.01,0.01,0.431,0.43
2024/12/3 19:11,0.451,0.452,0.013,0.011,44.37,44.36,0.02,0.01,0.43,0.43
2024/12/3 19:11,0.453,0.451,0.013,0.011,44.34,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:11,0.452,0.452,0.013,0.011,44.34,44.32,0.01,0.01,0.43,0.43
2024/12/3 19:11,0.453,0.453,0.013,0.011,44.34,44.35,0.02,0.01,0.43,0.43
2024/12/3 19:11,0.453,0.452,0.013,0.011,44.35,44.33,0.01,0.01,0.429,0.43
2024/12/3 19:11,0.453,0.452,0.013,0.011,44.34,44.35,0.01,0.01,0.43,0.43
2024/12/3 19:11,0.452,0.452,0.013,0.011,44.38,44.36,0.02,0.01,0.43,0.43
2024/12/3 19:11,0.453,0.452,0.013,0.01,44.31,44.33,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.451,0.451,0.013,0.011,44.32,44.33,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.451,0.013,0.011,44.37,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.34,44.35,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.4,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.4,44.35,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.454,0.452,0.013,0.011,44.32,44.33,0.02,0.01,0.431,0.43
2024/12/3 19:12,0.452,0.451,0.013,0.011,44.37,44.33,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.451,0.013,0.011,44.37,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.38,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.38,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.35,44.34,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.36,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.34,44.35,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.37,44.36,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.37,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.4,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.451,0.013,0.011,44.38,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.01,44.31,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.34,44.36,0.01,0.01,0.429,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.4,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.453,0.013,0.01,44.36,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.4,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.454,0.452,0.013,0.011,44.34,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.453,0.013,0.011,44.37,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.453,0.013,0.011,44.37,44.35,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.37,44.34,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.37,44.35,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.454,0.453,0.013,0.011,44.4,44.34,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.34,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.34,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.453,0.013,0.011,44.4,44.35,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.453,0.013,0.011,44.31,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.451,0.452,0.013,0.011,44.32,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.451,0.013,0.011,44.37,44.35,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.35,44.33,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.37,44.35,0.01,0.01,0.429,0.43
2024/12/3 19:12,0.454,0.453,0.013,0.011,44.35,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.454,0.013,0.011,44.35,44.33,0.02,0.01,0.431,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.34,44.36,0.01,0.01,0.431,0.43
2024/12/3 19:12,0.452,0.451,0.013,0.011,44.32,44.34,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.453,0.013,0.011,44.31,44.34,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.451,0.013,0.011,44.32,44.36,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.451,0.013,0.011,44.35,44.33,0.02,0.01,0.43,0.43
2024/12/3 19:12,0.453,0.452,0.013,0.011,44.37,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.34,44.33,0.01,0.01,0.43,0.43
2024/12/3 19:12,0.452,0.452,0.013,0.011,44.35,44.33,0.01,0.01,0.43,0.43
